strategy,stop_loss,take_profit,train_end,full_sharpe,full_final_equity,full_max_drawdown,train_sharpe,train_total_return,train_max_drawdown,test_sharpe,test_total_return,test_max_drawdown,test_avg_positions,is_improved_2_original,stop_rank_index,take_rank_index,neighbor_train_sharpe_median,neighbor_test_sharpe_median,neighbor_count,train_stability_gap,robust_train_score
improved_4_stop7p5_take15_top10,0.075,0.15,2020-12-31,0.9698410928637895,2330947.6869489476,-0.10128596856908167,1.1613529223522983,0.613186582620614,-0.10128596856908167,0.7970037197310137,0.44493371818301153,-0.06391834554769726,9.846153846153847,False,1,1,1.157364657740044,0.8017640859948536,8,0.003988264612254211,1.0560786891709624
improved_4_stop10_take25_top10,0.1,0.25,2020-12-31,1.093246504548045,2898196.094340377,-0.12876171438814832,1.1775311551453171,0.7445294527034625,-0.12876171438814832,1.0086842489745718,0.6613053392988582,-0.06516183835451861,9.846153846153847,False,2,3,1.164462144977893,0.9778686499971074,8,0.013069010167424233,1.0357004305897446
improved_4_stop10_take30_top10,0.1,0.3,2020-12-31,1.11286358635003,3006900.0271974676,-0.12692993522515594,1.186861567426995,0.7632145668341521,-0.12692993522515594,1.0378300519433425,0.705351171523241,-0.06294665121878706,9.846153846153847,False,2,4,1.1557050890045182,1.0126679513443138,8,0.031156478422476708,1.0287751537793624
improved_4_stop10_take20_top10,0.1,0.2,2020-12-31,1.050703392123206,2721442.668893479,-0.1303102822952068,1.142062722528791,0.7165310625955077,-0.1303102822952068,0.9588085213412135,0.5854316465316258,-0.057542151724853885,9.846153846153847,True,2,2,1.125893624420568,0.9426821947538646,8,0.01616909810822298,0.9955833421253613
improved_4_stop7p5_take10_top10,0.075,0.1,2020-12-31,0.7727749980832799,1902629.1299649065,-0.11908053771645144,1.119529229624261,0.5474417427777121,-0.10177376567919172,0.4769463667576732,0.22953199294573734,-0.11908053771645155,9.846153846153847,False,1,0,1.1613529223522983,0.7526329122696526,5,-0.04182369272803732,0.9759317712170319
improved_4_stop10_take40_top10,0.1,0.4,2020-12-31,1.0977275558603383,3046648.2160119643,-0.12971843924086512,1.133879022863719,0.73833877824581,-0.12971843924086512,1.0571990204874948,0.7526205214649775,-0.06380149799726431,9.846153846153847,False,2,5,1.186861567426995,1.0329549686054402,5,-0.05298254456327589,0.9511780390595779
improved_4_stop12p5_take25_top10,0.125,0.25,2020-12-31,1.0280306895128604,2870681.0872738934,-0.14620346879854995,1.0904343264888376,0.7374011258871416,-0.14620346879854995,0.9637868335094117,0.6522845786738418,-0.07209735679984886,9.846153846153847,False,3,3,1.0896639102572354,1.0232571504589572,8,0.0007704162316022334,0.9434604414586855
improved_4_stop12p5_take30_top10,0.125,0.3,2020-12-31,1.0498845403515418,2984385.0201309766,-0.14414683562182118,1.1002782377169622,0.7560862400178301,-0.14414683562182118,0.9968556594974907,0.6994524255828549,-0.069734896034505,9.846153846153847,False,3,4,1.0847419546431731,1.0475145362154188,8,0.01553628307378907,0.940595119021352
improved_4_stop10_take15_top10,0.1,0.15,2020-12-31,0.964779447829733,2452226.1964817233,-0.13325048169945664,1.080054869333016,0.6397568834559859,-0.13325048169945664,0.8508952597200545,0.49548156877582916,-0.06395346092931076,9.846153846153847,False,2,1,1.119529229624261,0.851963650855053,7,-0.03947436029124485,0.9073300273423146
improved_4_stop15_take30_top10,0.15,0.3,2020-12-31,1.0874729982338336,3106471.2265349105,-0.14751359881485404,1.0790495827975086,0.7576703228424524,-0.14751359881485404,1.0945976502129642,0.7673799154276078,-0.0600513563549514,9.846153846153847,False,4,4,1.0461898824701645,1.0882755278103393,8,0.03285970032734409,0.8986762836553105
improved_4_stop15_take25_top10,0.15,0.25,2020-12-31,1.0666220300908005,2992767.293677825,-0.1496217292485782,1.0683742658723676,0.7389852087117639,-0.1496217292485782,1.064600167523315,0.7209849046932724,-0.06262318568872483,9.846153846153847,False,4,3,1.0462868256095836,1.0726514119352177,8,0.022087440262783975,0.8966650963610054
improved_4_stop12p5_take20_top10,0.125,0.2,2020-12-31,0.9985292916444879,2712999.643691261,-0.1479416080707623,1.0570303050612577,0.7094027357791854,-0.1479416080707623,0.9398161408869911,0.5871038386133232,-0.06693927878381267,9.846153846153847,False,3,2,1.074214567602692,0.9657233872661197,8,-0.017184262541434236,0.8919044344490612
improved_4_stop12p5_take40_top10,0.125,0.4,2020-12-31,1.039018749879613,3022415.7129583107,-0.14727736925598067,1.0565918382045494,0.7312104514294882,-0.14727736925598067,1.0166516537140557,0.7458395716492205,-0.07069890988333472,9.846153846153847,False,3,5,1.1002782377169622,1.0571990204874948,5,-0.04368639951241282,0.8656280694361559
improved_4_stop15_take40_top10,0.15,0.4,2020-12-31,1.0752033824624843,3144501.9193622447,-0.15072255850246152,1.0357879267357797,0.7327945342541098,-0.15072255850246152,1.1119508880973636,0.8146998142026165,-0.06086401245453277,9.846153846153847,False,4,5,1.0565918382045494,1.0945976502129642,5,-0.020803911468769698,0.8642614567645485
improved_4_stop15_take20_top10,0.15,0.2,2020-12-31,1.0395390241908782,2840777.012283655,-0.15140346687853645,1.0355433461579095,0.7109868186038064,-0.15140346687853645,1.0507051736574713,0.6603149605803376,-0.05838536013177653,9.846153846153847,False,4,2,0.9994588352224165,0.9676599410228278,7,0.03608451093549303,0.8480553683438801
improved_4_stop10_take10_top10,0.1,0.1,2020-12-31,0.7815069907693025,2001735.288198625,-0.13438005218278393,1.029224372982403,0.5654164588315007,-0.13438005218278393,0.5485825404706205,0.27872380343618786,-0.07436273659917625,9.846153846153847,False,2,0,1.0997920494786384,0.8239494897255342,4,-0.0705676764962353,0.8242766443033839
improved_4_stop12p5_take15_top10,0.125,0.15,2020-12-31,0.9262698321084348,2470312.6260164063,-0.15124043325776004,0.9994588352224165,0.6326285566396654,-0.15124043325776004,0.851963650855053,0.5130891934788242,-0.07269883690517542,9.846153846153847,False,3,1,1.0462868256095836,0.9493123311141023,6,-0.04682799038716712,0.8013904115774894
improved_4_stop15_take15_top10,0.15,0.15,2020-12-31,0.971780607490971,2599144.1606360427,-0.154785229275613,0.9785170449405649,0.6342126394642864,-0.154785229275613,0.9676599410228278,0.590456528036688,-0.06439673351636954,9.846153846153847,False,4,1,1.0175010906901631,0.9952606572722311,4,-0.03898404574959824,0.7847477699153537
improved_4_stop20_take30_top10,0.2,0.3,2020-12-31,1.0425109166967352,3131484.4036845667,-0.1575657844808861,0.9410276519867081,0.696944375245035,-0.1575657844808861,1.1592216675983846,0.8453665596625024,-0.06514343438779646,9.846153846153847,False,5,4,1.0357879267357797,1.1119508880973636,5,-0.09476027474907156,0.6887015927567505
improved_4_stop20_take25_top10,0.2,0.25,2020-12-31,1.020783635537667,3017780.470827483,-0.15982548201967206,0.9277383682180625,0.6782592611143479,-0.15982548201967206,1.1310606046568883,0.7981610712660119,-0.0691481685753339,9.846153846153847,False,5,3,1.0355433461579095,1.0945976502129642,5,-0.107804977939847,0.6601079082585435
improved_4_stop20_take20_top10,0.2,0.2,2020-12-31,0.9928030553871341,2865790.1894333162,-0.16173549470094972,0.8964574861948554,0.6502608710063897,-0.16173549470094972,1.1222106620362662,0.7365679813311279,-0.06501016474384791,9.846153846153847,False,5,2,1.0070301955492371,1.057652670590393,4,-0.11057270935438168,0.624149282139524
improved_4_stop20_take40_top10,0.2,0.4,2020-12-31,1.0307375235814829,3169515.096511901,-0.16100554589920024,0.9013790044354834,0.672068586656694,-0.16100554589920024,1.1749895443812322,0.8955652428405219,-0.06654171955637933,9.846153846153847,False,5,5,1.0357879267357797,1.1119508880973636,3,-0.13440892230029633,0.6059645362359868
