date,ticker,size,price,market_value,entry_price
2025-07-11,KMB,1147,125.0572232886,143440.6351120242,123.5315398476
2025-07-11,LYV,987,143.94,142068.78,131.68
2025-07-11,MA,240,547.6648660123,131439.567842952,559.613925505
2025-07-11,MMM,962,152.9600894586,147147.6060591732,136.7366310396
2025-07-11,MSI,324,412.6163155356,133687.6862335344,412.40742592899994
2025-07-14,APP,401,355.9,142715.9,342.53
2025-07-14,CL,1682,86.6593771472,145761.0723615904,84.3372502231
2025-07-14,CLX,1144,121.8510679318,139397.6217139792,118.7426223213
2025-07-14,COIN,403,394.01,158786.03,340.58
2025-07-14,COR,464,294.8345372567,136803.2252871088,293.3060743624
2025-07-14,DVA,1000,143.41,143410.0,134.0
2025-07-14,EXPE,782,182.1810834539,142465.6072609498,172.811997445
2025-07-14,FFIV,456,294.15,134132.4,294.98
2025-07-14,FOXA,2438,55.4347189594,135149.8448230172,55.4743434904
2025-07-14,FTNT,1312,102.97,135096.63999999998,102.25999999999999
2025-07-14,GDDY,674,169.79,114438.45999999999,172.7
2025-07-14,HD,371,363.1623013999,134733.2138193629,353.0839150851
2025-07-14,JBL,626,220.2298545565,137863.888952369,216.6845254087
2025-07-14,KMB,1147,123.2013733217,141311.97519998992,123.5315398476
2025-07-14,LYV,987,148.46,146530.02000000002,131.68
2025-07-14,MA,240,550.4918830239,132118.05192573598,559.613925505
2025-07-14,MMM,962,154.9918360267,149102.1462576854,136.7366310396
2025-07-14,MSI,324,410.2260905027,132913.2533228748,412.40742592899994
2025-07-15,APP,401,352.96,141536.96,342.53
2025-07-15,CL,1682,85.9766358529,144612.7015045778,84.3372502231
2025-07-15,CLX,1144,118.7617512173,135863.4433925912,118.7426223213
2025-07-15,COIN,403,388.02,156372.06,340.58
2025-07-15,COR,464,292.442592078,135693.362724192,293.3060743624
2025-07-15,DVA,1000,140.53,140530.0,134.0
2025-07-15,EXPE,782,177.6454136382,138918.71346507242,172.811997445
2025-07-15,FFIV,456,290.76,132586.56,294.98
2025-07-15,FOXA,2438,55.1078165781,134352.8568174078,55.4743434904
2025-07-15,FTNT,1312,104.93,137668.16,102.25999999999999
2025-07-15,GDDY,674,167.93,113184.82,172.7
2025-07-15,HD,371,351.9076160441,130557.7255523611,353.0839150851
2025-07-15,JBL,626,218.4921439319,136776.0821013694,216.6845254087
2025-07-15,KMB,1147,122.5150954694,140524.81450340178,123.5315398476
2025-07-15,LYV,987,146.07,144171.09,131.68
2025-07-15,MA,240,547.8440431468,131482.570355232,559.613925505
2025-07-15,MMM,962,153.6962295195,147855.772797759,136.7366310396
2025-07-15,MSI,324,405.3762148136,131341.89359960638,412.40742592899994
2025-07-16,APP,401,355.5,142555.5,342.53
2025-07-16,CL,1682,85.4987169468,143808.8419045176,84.3372502231
2025-07-16,CLX,1144,121.3728455301,138850.5352864344,118.7426223213
2025-07-16,COIN,403,398.2,160474.6,340.58
2025-07-16,COR,464,295.5987687039,137157.8286786096,293.3060743624
2025-07-16,DVA,1000,140.22,140220.0,134.0
2025-07-16,EXPE,782,176.9605969701,138383.1868306182,172.811997445
2025-07-16,FFIV,456,293.12,133662.72,294.98
2025-07-16,FOXA,2438,55.1573472419,134473.6125757522,55.4743434904
2025-07-16,FTNT,1312,103.44,135713.28,102.25999999999999
2025-07-16,GDDY,674,168.24,113393.76000000001,172.7
2025-07-16,HD,371,350.6908933029,130106.3214153759,353.0839150851
2025-07-16,JBL,626,218.0027886411,136469.7456893286,216.6845254087
2025-07-16,KMB,1147,123.3656933709,141500.4502964223,123.5315398476
2025-07-16,LYV,987,148.59,146658.33000000002,131.68
2025-07-16,MA,240,552.980454337,132715.30904088,559.613925505
2025-07-16,MMM,962,154.6483039983,148771.6684463646,136.7366310396
2025-07-16,MSI,324,412.8741821367,133771.2350122908,412.40742592899994
2025-07-17,APP,401,363.78,145875.78,342.53
2025-07-17,CL,1682,85.0890721702,143119.8193902764,84.3372502231
2025-07-17,CLX,1144,123.6300552658,141432.7832240752,118.7426223213
2025-07-17,COIN,403,410.75,165532.25,340.58
2025-07-17,COR,464,292.1746148173,135569.0212752272,293.3060743624
2025-07-17,DVA,1000,143.38,143380.0,134.0
2025-07-17,EXPE,782,180.7122013254,141316.9414364628,172.811997445
2025-07-17,FFIV,456,300.34,136955.03999999998,294.98
2025-07-17,FOXA,2438,55.8606826683,136188.3443453154,55.4743434904
2025-07-17,FTNT,1312,104.92,137655.04,102.25999999999999
2025-07-17,GDDY,674,168.29,113427.45999999999,172.7
2025-07-17,HD,371,352.3001072509,130703.3397900839,353.0839150851
2025-07-17,JBL,626,221.937604653,138932.940512778,216.6845254087
2025-07-17,KMB,1147,123.6363381577,141810.8798668819,123.5315398476
2025-07-17,LYV,987,150.72,148760.63999999998,131.68
2025-07-17,MA,240,553.0700429043,132736.810297032,559.613925505
2025-07-17,MMM,962,156.1009537185,150169.117477197,136.7366310396
2025-07-17,MSI,324,417.5852065792,135297.60693166082,412.40742592899994
2025-07-18,APP,401,364.46,146148.46,342.53
2025-07-18,CL,1682,85.206113535,143316.68296587,84.3372502231
2025-07-18,CLX,1144,122.7788193909,140458.9693831896,118.7426223213
2025-07-18,COR,464,290.6759271742,134873.6302088288,293.3060743624
2025-07-18,DVA,1000,141.16,141160.0,134.0
2025-07-18,EXPE,782,183.5407919107,143528.8992741674,172.811997445
2025-07-18,FFIV,456,302.17,137789.52000000002,294.98
2025-07-18,FOXA,2438,55.7219968096,135850.2282218048,55.4743434904
2025-07-18,FTNT,1312,105.42,138311.04,102.25999999999999
2025-07-18,GDDY,674,168.72,113717.28,172.7
2025-07-18,HD,371,352.653349337,130834.392604027,353.0839150851
2025-07-18,JBL,626,223.6853021203,140026.99912730782,216.6845254087
2025-07-18,KMB,1147,123.2690345185,141389.5825927195,123.5315398476
2025-07-18,LYV,987,150.49,148533.63,131.68
2025-07-18,MA,240,550.1335287549,132032.04690117599,559.613925505
2025-07-18,MMM,962,150.3983220466,144683.18580882918,136.7366310396
2025-07-18,MSI,324,417.0099656999,135111.2288867676,412.40742592899994
2025-07-21,APP,401,366.17,146834.17,342.53
2025-07-21,CL,1682,85.0098765162,142986.61230024838,84.3372502231
2025-07-21,CLX,1144,121.0572187451,138489.4582443944,118.7426223213
2025-07-21,COR,464,290.4774254996,134781.5254318144,293.3060743624
2025-07-21,DVA,1000,139.43,139430.0,134.0
2025-07-21,EXPE,782,184.0767353901,143948.0070750582,172.811997445
2025-07-21,FFIV,456,300.12,136854.72,294.98
2025-07-21,FOXA,2438,54.9493184538,133966.4383903644,55.4743434904
2025-07-21,FTNT,1312,106.94,140305.28,102.25999999999999
2025-07-21,GDDY,674,168.48,113555.51999999999,172.7
2025-07-21,HD,371,357.2062473363,132523.51776176732,353.0839150851
2025-07-21,JBL,626,222.906328392,139539.361573392,216.6845254087
2025-07-21,KMB,1147,122.4764319284,140480.4674218748,123.5315398476
