month,base,improved_1,improved_2,improved_3,improved_4,improved_5,improved_6,improved_8
2017-05-31,0.0006058874646590381,-0.011576251246328662,-0.011576251246328662,-0.011576251246328662,-0.011576251246328662,-0.011576251246328662,-0.003471188445139361,-0.011576251246328662
2017-06-30,-0.0013515349076041652,0.022887657256431534,0.021279813604962235,0.009294886755761934,0.026989831555913835,0.026989831555913835,0.009019294924819534,0.0036727137006292345
2017-07-31,-0.012140632366690381,-0.019348826001101882,-0.019348826001101882,-0.019348826001101882,-0.019348826001101882,-0.019348826001101882,0.0011844827074450164,-0.019348826001101882
2017-08-31,0.011334149432608857,-0.000546433019853243,-0.000546433019853243,-0.000546433019853243,-0.000546433019853243,-0.000546433019853243,0.011078961176888858,-0.000546433019853243
2017-09-30,-0.016301488040026072,-0.019302978562167672,-0.019302978562167672,-0.019302978562167672,-0.019302978562167672,-0.019302978562167672,-0.02372574066851037,-0.019302978562167672
2017-10-31,-0.004324355291742549,0.011127476975173849,0.011820077941672849,-0.02764536675203375,0.0037565836616925523,0.0037565836616925523,0.005390470617128253,-0.011912197223238049
2017-11-30,-0.019041895812030942,-0.018235419140332342,-0.018037437713558042,-0.021534070588351543,-0.025841850722978343,-0.025841850722978343,-0.04082207576130784,-0.02359667640150564
2017-12-31,0.0172547840197195,0.038624656010700496,0.055937806333639095,0.042505107221712496,0.0517787569719693,0.0517787569719693,0.0397514309203744,0.0668294609373889
2018-01-31,-0.06222166002945477,-0.05617870412552817,-0.05617870412552817,-0.05617870412552817,-0.05617870412552817,-0.05617870412552817,-0.08054141752260646,-0.05617870412552817
2018-02-28,0.032270184480239494,0.025977047847612598,0.0357885404838357,0.0356170592784075,0.0110541141964744,0.0110541141964744,0.0132654501958837,0.012537000072869498
2018-03-31,0.020197397166494338,0.03372818382802294,0.03429734986167844,0.009748649344171939,0.02899821522825664,0.02899821522825664,0.023599410691863738,0.02881931843065004
2018-04-30,0.028245188167801076,0.059409312299622076,0.050901042776279375,0.06589050643690458,0.06202484184020808,0.06202484184020808,0.04887143300261658,0.07042162049577767
2018-05-31,-0.030965941229200402,-0.0384666739427165,-0.0384478259393423,-0.0461695453944446,-0.028804805211065203,-0.028804805211065203,-0.0342088643613821,-0.038648590263432606
2018-06-30,0.012475084534707671,0.03886387506728737,0.03890318112065037,0.02879884142824967,0.03945604107099837,0.03945604107099837,-0.00884392449879473,0.03144591088713017
2018-07-31,-0.02457091577284835,-0.03602155617289915,-0.03602155617289915,-0.03602155617289915,-0.03602155617289915,-0.03602155617289915,0.003512206883104649,-0.03602155617289915
2018-08-31,-0.030841040838069846,-0.030263211276748248,-0.030263211276748248,-0.030263211276748248,-0.030263211276748248,-0.030263211276748248,-0.02815050678659965,-0.030263211276748248
2018-09-30,-0.04728102914481786,-0.10632419154435717,-0.07584489704402776,-0.08189662692693087,-0.041110743232586164,-0.041110743232586164,-0.03154364460293527,-0.04560239196926806
2018-10-31,0.0922180210995653,0.0694033560936963,0.0694033560936963,0.0694033560936963,0.0694033560936963,0.0694033560936963,0.0791008386766755,0.0694033560936963
2018-11-30,-0.03828441451635908,-0.07992190401433498,-0.08114732182155888,-0.08695054317872268,-0.05608307427127778,-0.05608307427127778,-0.045602998006882084,-0.06785935665477978
2018-12-31,0.10986642985845872,0.09177689467997252,0.09177689467997252,0.09177689467997252,0.09177689467997252,0.09177689467997252,0.12140884084235162,0.09177689467997252
2019-01-31,-0.06315995236816063,-0.07868440166582613,-0.07868440166582613,-0.07868440166582613,-0.07868440166582613,-0.07868440166582613,-0.05491465983287923,-0.07868440166582613
2019-02-28,-0.020043506079484446,-0.029728889343927145,-0.029728889343927145,-0.029728889343927145,-0.029728889343927145,-0.029728889343927145,-0.016215233887380744,-0.029728889343927145
2019-03-31,-0.01541357617484189,0.015449792018623412,0.014801280842628411,0.02131967997567801,0.016298700597150113,0.016298700597150113,0.0003182831786773116,0.020688438019585212
2019-04-30,-0.06314594193293999,-0.05899529123478019,-0.06332136976368707,-0.07470605717466638,-0.05922548811665528,-0.05922548811665528,-0.059942433583426685,-0.06108212829791729
2019-05-31,0.0912104820625641,0.1196844736079818,0.11872514456460889,0.12967639237106182,0.1162291945773424,0.0657777313668354,0.10739835442103321,0.12214725758257369
