date,ticker,size,price,market_value,entry_price
2019-11-01,LMT,312,316.2840857293,98680.6347475416,319.2619958647
2019-11-01,MA,383,269.0071035418,103029.72065650941,258.1900026313
2019-11-01,MCO,526,207.7728558401,109288.52217189259,188.3147629916
2019-11-01,ORLY,3743,29.134,109048.562,26.5773333333
2019-11-01,SPGI,435,244.5726747917,106389.1135343895,227.9307706067
2019-11-01,STX,2376,45.8638878565,108972.597547044,41.7009560015
2019-11-01,UPS,1139,90.5647857741,103153.2909966999,87.0637456078
2019-11-04,HLT,1103,96.3976245476,106326.5798760028,90.1311395147
2019-11-04,HSY,757,119.7304588882,90635.9573783674,131.8372675468
2019-11-04,IDXX,371,278.66,103382.86000000002,266.84
2019-11-04,LLY,964,104.2802589576,100526.1696351264,104.4001107272
2019-11-04,LMT,312,312.3719292768,97460.04193436161,319.2619958647
2019-11-04,MA,383,266.3849952399,102025.4531768817,258.1900026313
2019-11-04,MCO,526,205.4171545267,108049.42328104419,188.3147629916
2019-11-04,ORLY,3743,29.0993333333,108918.8046665419,26.5773333333
2019-11-04,SPGI,435,242.2479113451,105377.84143511849,227.9307706067
2019-11-04,STX,2376,46.2300348266,109842.5627480016,41.7009560015
2019-11-04,UPS,1139,93.2246669394,106182.89564397659,87.0637456078
2019-11-05,HLT,1103,98.522523711,108670.34365323301,90.1311395147
2019-11-05,IDXX,371,264.15,97999.65,266.84
2019-11-05,LLY,964,102.565456715,98873.10027326,104.4001107272
2019-11-05,LMT,312,311.6629030541,97238.8257528792,319.2619958647
2019-11-05,MA,383,259.3187989706,99319.1000057398,258.1900026313
2019-11-05,MCO,526,200.7622887315,105600.963872769,188.3147629916
2019-11-05,ORLY,3743,28.9146666667,108227.5973334581,26.5773333333
2019-11-05,SPGI,435,237.3810285198,103260.747406113,227.9307706067
2019-11-05,STX,2376,45.9036864402,109067.1589819152,41.7009560015
2019-11-05,UPS,1139,91.9894514695,104775.9852237605,87.0637456078
2019-11-06,HLT,1103,97.9519489356,108040.9996759668,90.1311395147
2019-11-06,IDXX,371,261.45,96997.95,266.84
2019-11-06,LLY,964,104.9348340072,101157.1799829408,104.4001107272
2019-11-06,LMT,312,316.8012577976,98841.9924328512,319.2619958647
2019-11-06,MA,383,260.1478479189,99636.62575293871,258.1900026313
2019-11-06,MCO,526,203.344137371,106959.016257146,188.3147629916
2019-11-06,ORLY,3743,29.3886666667,110001.77933345811,26.5773333333
2019-11-06,SPGI,435,239.4600852607,104165.1370884045,227.9307706067
2019-11-06,STX,2376,46.0390016248,109388.6678605248,41.7009560015
2019-11-06,UPS,1139,92.4138199745,105259.3409509555,87.0637456078
2019-11-07,HLT,1103,97.4699116254,107509.3125228162,90.1311395147
2019-11-07,IDXX,371,263.14,97624.93999999999,266.84
2019-11-07,LLY,964,103.9668004831,100223.9956657084,104.4001107272
2019-11-07,LMT,312,315.9337433604,98571.3279284448,319.2619958647
2019-11-07,MA,383,262.9723984059,100718.4285894597,258.1900026313
2019-11-07,MCO,526,205.6715702686,108183.2459612836,188.3147629916
2019-11-07,ORLY,3743,29.3506666667,109859.5453334581,26.5773333333
2019-11-07,SPGI,435,241.5391420016,105069.526770696,227.9307706067
2019-11-07,STX,2376,46.2618736936,109918.2118959936,41.7009560015
2019-11-07,UPS,1139,93.5808333633,106588.56920079871,87.0637456078
2019-11-08,HLT,1103,97.6275502169,107683.18788924071,90.1311395147
2019-11-08,IDXX,371,254.74,94508.54000000001,266.84
2019-11-08,LLY,964,104.6674723672,100899.44336198081,104.4001107272
2019-11-08,LMT,312,318.5279451871,99380.7188983752,319.2619958647
2019-11-08,MA,383,264.9968202566,101493.78215827781,258.1900026313
2019-11-08,MCO,526,205.539650995,108113.85642336999,188.3147629916
2019-11-08,ORLY,3743,29.282,109602.526,26.5773333333
2019-11-08,SPGI,435,241.2650845221,104950.31176711351,227.9307706067
2019-11-08,STX,2376,46.7951747151,111185.3351230776,41.7009560015
2019-11-08,UPS,1139,94.1946520937,107287.7087347243,87.0637456078
2019-11-11,HLT,1103,96.6817186677,106639.9356904731,90.1311395147
2019-11-11,IDXX,371,252.68,93744.28,266.84
2019-11-11,LLY,964,103.9944585838,100250.65807478319,104.4001107272
2019-11-11,LMT,312,318.1275539084,99255.7968194208,319.2619958647
2019-11-11,MA,383,267.0308822113,102272.82788692792,258.1900026313
2019-11-11,MCO,526,205.464268553,108074.205258878,188.3147629916
2019-11-11,ORLY,3743,29.33,109782.18999999999,26.5773333333
2019-11-11,SPGI,435,241.0477285901,104855.7619366935,227.9307706067
2019-11-11,STX,2376,46.3653500112,110164.0716266112,41.7009560015
2019-11-11,UPS,1139,93.3156030476,106286.4718712164,87.0637456078
2019-11-12,HLT,1103,96.6423090199,106596.4668489497,90.1311395147
2019-11-12,IDXX,371,257.51,95536.20999999999,266.84
2019-11-12,LLY,964,104.3355751589,100579.4944531796,104.4001107272
2019-11-12,LMT,312,322.2315645152,100536.24812874239,319.2619958647
2019-11-12,MA,383,267.165843668,102324.51812484399,258.1900026313
2019-11-12,MCO,526,204.908323043,107781.777920618,188.3147629916
2019-11-12,ORLY,3743,29.3273333333,109772.2086665419,26.5773333333
2019-11-12,SPGI,435,241.1044301376,104880.427109856,227.9307706067
2019-11-12,STX,2376,46.1424779425,109634.52759138,41.7009560015
2019-11-12,UPS,1139,93.2170889304,106174.2642917256,87.0637456078
2019-11-13,HLT,1103,96.3171794248,106237.8489055544,90.1311395147
2019-11-13,IDXX,371,259.31,96204.01,266.84
2019-11-13,LLY,964,103.9852392169,100241.7706050916,104.4001107272
2019-11-13,LMT,312,323.3910309265,100898.001649068,319.2619958647
2019-11-13,MA,383,268.0623733448,102667.8889910584,258.1900026313
2019-11-13,MCO,526,206.1144421155,108416.196552753,188.3147629916
2019-11-13,ORLY,3743,29.4426666667,110203.9013334581,26.5773333333
2019-11-13,SPGI,435,244.4025701493,106315.1180149455,227.9307706067
2019-11-13,STX,2376,46.2698334103,109937.12418287281,41.7009560015
2019-11-13,UPS,1139,93.2246669394,106182.89564397659,87.0637456078
2019-11-14,HLT,1103,97.3910923296,107422.3748395488,90.1311395147
2019-11-14,IDXX,371,257.36,95480.56000000001,266.84
2019-11-14,LLY,964,103.2891770163,99570.7666437132,104.4001107272
2019-11-14,LMT,312,325.4513777148,101540.8298470176,319.2619958647
2019-11-14,MA,383,269.5662295767,103243.86592787609,258.1900026313
2019-11-14,MCO,526,206.2275157785,108475.673299491,188.3147629916
2019-11-14,ORLY,3743,29.546,110590.678,26.5773333333
2019-11-14,SPGI,435,245.7067057413,106882.4169974655,227.9307706067
2019-11-14,STX,2376,46.3335111442,110088.4224786192,41.7009560015
2019-11-14,UPS,1139,94.0279358953,107097.8189847467,87.0637456078
2019-11-15,HLT,1103,98.2186949352,108335.22051352561,90.1311395147
2019-11-15,IDXX,371,259.78,96378.37999999999,266.84
2019-11-15,LLY,964,104.9582722549,101179.7744537236,104.4001107272
2019-11-15,LMT,312,328.2791411208,102423.0920296896,319.2619958647
2019-11-15,MA,383,270.6748415426,103668.4643108158,258.1900026313
2019-11-15,MCO,526,207.4430576562,109115.0483271612,188.3147629916
2019-11-15,ORLY,3743,29.682,111099.726,26.5773333333
2019-11-15,SPGI,435,248.4378302782,108070.45617101701,227.9307706067
2019-11-15,STX,2376,47.0260065006,111733.7914454256,41.7009560015
2019-11-15,UPS,1139,94.4901944454,107624.3314733106,87.0637456078
2019-11-18,HLT,1103,98.6916107098,108856.8466129094,90.1311395147
2019-11-18,IDXX,371,260.53,96656.62999999999,266.84
2019-11-18,LLY,964,105.7742743716,101966.4004942224,104.4001107272
2019-11-18,LMT,312,327.6201638079,102217.4911080648,319.2619958647
2019-11-18,MA,383,270.751962375,103698.001589625,258.1900026313
2019-11-18,MCO,526,208.6020627024,109724.6849814624,188.3147629916
2019-11-18,ORLY,3743,29.9926666667,112262.5513334581,26.5773333333
2019-11-18,SPGI,435,249.5624109698,108559.648771863,227.9307706067
2019-11-18,STX,2376,47.8299378914,113643.9324299664,41.7009560015
2019-11-18,UPS,1139,93.7570611175,106789.2926128325,87.0637456078
2019-11-19,HLT,1103,98.7310203576,108900.3154544328,90.1311395147
2019-11-19,IDXX,371,264.6,98166.6,266.84
2019-11-19,LLY,964,106.7293677581,102887.1105188084,104.4001107272
2019-11-19,LMT,312,325.9935742381,101709.9951622872,319.2619958647
2019-11-19,MA,383,275.0418086777,105341.01272355909,258.1900026313
2019-11-19,MCO,526,210.9483412105,110958.82747672299,188.3147629916
2019-11-19,ORLY,3743,29.638,110935.034,26.5773333333
2019-11-19,SPGI,435,253.1440587189,110117.6655427215,227.9307706067
2019-11-19,STX,2376,47.4797103548,112811.7918030048,41.7009560015
2019-11-19,UPS,1139,92.0540534911,104849.56692636291,87.0637456078
2019-11-20,HLT,1103,97.7950412204,107867.9304661012,90.1311395147
2019-11-20,IDXX,371,260.5,96645.5,266.84
2019-11-20,LLY,964,106.2750029431,102449.1028371484,104.4001107272
2019-11-20,LMT,312,327.570114898,102201.875848176,319.2619958647
2019-11-20,MA,383,275.109289406,105366.85784249801,258.1900026313
2019-11-20,MCO,526,211.4571726942,111226.47283714921,188.3147629916
2019-11-20,ORLY,3743,29.2466666667,109470.2733334581,26.5773333333
2019-11-20,SPGI,435,253.3614146509,110212.2153731415,227.9307706067
2019-11-20,STX,2376,47.4478714878,112736.1426550128,41.7009560015
2019-11-20,UPS,1139,90.8856222497,103518.72374240831,87.0637456078
2019-11-21,HLT,1103,97.617697805,107672.32067891501,90.1311395147
2019-11-21,IDXX,371,260.69,96715.99,266.84
2019-11-21,LLY,964,106.4048214617,102574.24788907879,104.4001107272
2019-11-21,LMT,312,325.5347925646,101566.85528015521,319.2619958647
2019-11-21,MA,383,274.2127597293,105023.4869763219,258.1900026313
2019-11-21,MCO,526,211.6743811696,111340.7244952096,188.3147629916
2019-11-21,ORLY,3743,28.996,108532.02799999999,26.5773333333
2019-11-21,SPGI,435,249.8553689651,108687.08549981851,227.9307706067
2019-11-21,STX,2376,47.3443951702,112490.2829243952,41.7009560015
2019-11-21,UPS,1139,91.2750993301,103962.3381369839,87.0637456078
2019-11-22,HLT,1103,99.7261139667,109997.9037052701,90.1311395147
2019-11-22,IDXX,371,257.02,95354.42,266.84
2019-11-22,LLY,964,107.7493704039,103870.3930693596,104.4001107272
2019-11-22,LMT,312,325.9351838433,101691.7773591096,319.2619958647
2019-11-22,MA,383,272.4004201677,104329.36092422911,258.1900026313
2019-11-22,MCO,526,210.5505634057,110749.5963513982,188.3147629916
