simulation,annualized_sharpe,final_equity,strategy_sharpe,p_value
117,0.4977681900802348,2763490.9753570734,0.6788065184942079,0.171
118,0.5699118707679018,3147311.00680199,0.6788065184942079,0.171
119,0.4502893706947875,2424067.5345381876,0.6788065184942079,0.171
120,0.6161511126669479,3189657.664931004,0.6788065184942079,0.171
121,0.6258202899120423,3060514.490553123,0.6788065184942079,0.171
122,0.7472326129524282,3558856.0887787994,0.6788065184942079,0.171
123,0.5091595617569871,2720981.0804973477,0.6788065184942079,0.171
124,0.6102790858961176,3139813.61114051,0.6788065184942079,0.171
125,0.579327274543396,3007032.576717024,0.6788065184942079,0.171
126,0.6585453932717501,3382483.1775106513,0.6788065184942079,0.171
127,0.41116982505469146,2357336.175327988,0.6788065184942079,0.171
128,0.6334622806502676,3233810.227170984,0.6788065184942079,0.171
129,0.7195198002841694,3177766.2349278126,0.6788065184942079,0.171
130,0.5895560176214968,3025278.54604469,0.6788065184942079,0.171
131,0.5575835217425867,3012537.2629458983,0.6788065184942079,0.171
132,0.6521656334576031,3280394.2311033583,0.6788065184942079,0.171
133,0.6495830564618518,3385879.9746561362,0.6788065184942079,0.171
134,0.6320819232985381,3058410.032095441,0.6788065184942079,0.171
135,0.6871887781253975,3428336.6712573613,0.6788065184942079,0.171
136,0.7568844688754778,3839580.273100937,0.6788065184942079,0.171
137,0.5489015170487501,2869147.970502359,0.6788065184942079,0.171
138,0.666370726264777,3492071.620660324,0.6788065184942079,0.171
139,0.5022520486434243,2804331.180046727,0.6788065184942079,0.171
140,0.6385396990494708,3291980.4601730774,0.6788065184942079,0.171
141,0.6450225442073536,3578452.64016998,0.6788065184942079,0.171
142,0.6042331737682863,2938741.447633855,0.6788065184942079,0.171
143,0.6369569100208736,3294290.743345264,0.6788065184942079,0.171
144,0.6194708880398048,3052198.877988472,0.6788065184942079,0.171
145,0.5475703526322466,2973474.4390505916,0.6788065184942079,0.171
146,0.6022146483819041,2971823.839165827,0.6788065184942079,0.171
147,0.5819614098208058,3168964.290638477,0.6788065184942079,0.171
148,0.4711028800066206,2486958.6009296887,0.6788065184942079,0.171
149,0.6489479584624792,3318765.8255388825,0.6788065184942079,0.171
150,0.7704961070096292,3965181.2308747605,0.6788065184942079,0.171
151,0.6186917266980819,2999395.077614909,0.6788065184942079,0.171
152,0.6281235691930324,3221196.3056843113,0.6788065184942079,0.171
153,0.5595360645554497,2766682.454123141,0.6788065184942079,0.171
154,0.43805201185710807,2407954.8984577577,0.6788065184942079,0.171
155,0.5947437137584825,2961093.042477508,0.6788065184942079,0.171
156,0.5584338955425554,3230236.5115209613,0.6788065184942079,0.171
157,0.6610338864134345,3304127.800904007,0.6788065184942079,0.171
158,0.5454830995068681,2974696.00271054,0.6788065184942079,0.171
159,0.6482828376640739,3441611.194226618,0.6788065184942079,0.171
160,0.5580211699578341,2940625.2206885065,0.6788065184942079,0.171
161,0.4525489303108509,2464252.9503709367,0.6788065184942079,0.171
162,0.5851453365083894,3259543.3366376488,0.6788065184942079,0.171
163,0.6719535027889065,3203807.5533149075,0.6788065184942079,0.171
164,0.5533207322926632,3000902.557959623,0.6788065184942079,0.171
165,0.7841931079746581,3522890.207340476,0.6788065184942079,0.171
166,0.5951731882065079,2958218.435799617,0.6788065184942079,0.171
167,0.7456176373185445,3813376.124721293,0.6788065184942079,0.171
168,0.7045930116302462,3437946.2707779184,0.6788065184942079,0.171
169,0.6660219733440115,3445930.8472762047,0.6788065184942079,0.171
170,0.7011957150480256,3811196.385451691,0.6788065184942079,0.171
171,0.5954122053334457,3262561.806950842,0.6788065184942079,0.171
172,0.5042288003211682,2698140.688394095,0.6788065184942079,0.171
173,0.5811358918237095,2970397.2747046323,0.6788065184942079,0.171
174,0.5188980042198513,2748221.158272984,0.6788065184942079,0.171
175,0.7577152435381929,3713715.4589516744,0.6788065184942079,0.171
176,0.4969154340644969,2752835.5854812777,0.6788065184942079,0.171
177,0.737308992443804,3896683.1886838945,0.6788065184942079,0.171
178,0.6481689074100317,3285889.4174359855,0.6788065184942079,0.171
179,0.6502170320707774,3088504.657982018,0.6788065184942079,0.171
180,0.681524035875236,3078921.1584112495,0.6788065184942079,0.171
181,0.5697958687194928,3115796.4292318835,0.6788065184942079,0.171
182,0.7420376573576561,3552580.078402322,0.6788065184942079,0.171
183,0.9418234797359396,4485598.121356364,0.6788065184942079,0.171
184,0.7278947648500537,3554249.9943272043,0.6788065184942079,0.171
185,0.8211710160194883,3742375.129160842,0.6788065184942079,0.171
186,0.610933415147035,3136373.640475732,0.6788065184942079,0.171
187,0.5746363413938553,3025726.5300670415,0.6788065184942079,0.171
188,0.6427263734202331,3389797.9800301716,0.6788065184942079,0.171
189,0.618859871708977,3256378.376050842,0.6788065184942079,0.171
190,0.6267359742868046,3184075.4046451235,0.6788065184942079,0.171
191,0.5991198802356085,3254200.526872992,0.6788065184942079,0.171
192,0.6041819465434587,3081232.773785923,0.6788065184942079,0.171
193,0.5927850435939249,3276483.8138850853,0.6788065184942079,0.171
194,0.607170975382785,3047164.2367082024,0.6788065184942079,0.171
195,0.6667374901919653,3455699.7584465947,0.6788065184942079,0.171
196,0.6181706080019577,3107500.5788057414,0.6788065184942079,0.171
197,0.6138176632023998,3168353.6712581716,0.6788065184942079,0.171
198,0.5621463138561262,3056695.917594646,0.6788065184942079,0.171
199,0.5932627941752876,3115254.1553704664,0.6788065184942079,0.171
200,0.7601374546803348,3703273.6566361412,0.6788065184942079,0.171
201,0.5346179592601868,2757247.391062806,0.6788065184942079,0.171
202,0.7720877880842542,3496105.515636963,0.6788065184942079,0.171
203,0.5245968962524784,2856700.1318823323,0.6788065184942079,0.171
204,0.6792989613976196,3213061.05801288,0.6788065184942079,0.171
205,0.5934560755100415,3139608.4255416244,0.6788065184942079,0.171
