date,value,cash,return
2020-09-21,1710247.150104112,1114759.602585209,-0.004544935728938881
2020-09-22,1711485.2427550186,1114759.602585209,0.0007239261593456892
2020-09-23,1702622.871504441,1114759.602585209,-0.005178175674078078
2020-09-24,1702925.6487098213,1114759.602585209,0.00017782987087033852
2020-09-25,1709458.0971680922,1114759.602585209,0.003836015073952259
2020-09-28,1718954.2890643836,1114759.602585209,0.005555089014479542
2020-09-29,1718077.1122341403,1114759.602585209,-0.0005102967750938436
2020-09-30,1725309.7855446865,1114759.602585209,0.004209748944935976
2020-10-01,1724044.839242503,1114759.602585209,-0.0007331705371299568
2020-10-02,1724851.36570398,720946.011616662,0.0004678106062665499
2020-10-05,1734151.7307511577,720946.011616662,0.00539198056835577
2020-10-06,1713691.3460853945,720946.011616662,-0.011798497388057716
2020-10-07,1728502.3443526016,720946.011616662,0.008642745556858955
2020-10-08,1750383.8471909096,720946.011616662,0.012659226589885497
2020-10-09,1761291.4477077033,720946.011616662,0.006231547745541022
2020-10-12,1772263.0552522535,720946.011616662,0.006229297007505297
2020-10-13,1776884.979488519,720946.011616662,0.0026079222396291346
2020-10-14,1771271.0936944382,720946.011616662,-0.0031593974055071916
2020-10-15,1773387.6893692962,720946.011616662,0.0011949586273907187
2020-10-16,1773133.8601664891,720946.011616662,-0.00014313238122076744
2020-10-19,1759060.6811616463,720946.011616662,-0.007936895978920333
2020-10-20,1762384.5462047867,720946.011616662,0.0018895681534678577
2020-10-21,1749541.0107176984,720946.011616662,-0.007287589711760911
2020-10-22,1782780.092379501,720946.011616662,0.018998743932368445
2020-10-23,1791611.5828044275,862666.771616662,0.004953774423820834
2020-10-26,1778910.9927729496,862666.771616662,-0.007088919358066104
2020-10-27,1768227.2271513802,953790.942138263,-0.006005789870866862
2020-10-28,1745909.4483880415,1042306.639605355,-0.012621555884134161
2020-10-29,1746329.5800351878,1042306.639605355,0.00024063770749060964
2020-10-30,1737551.5528349052,1042306.639605355,-0.005026558159832439
2020-11-02,1747771.639250259,1042306.639605355,0.005881889604184121
2020-11-03,1767474.1332367198,749450.0317086536,0.011272922356671655
2020-11-04,1779189.4433282227,749450.0317086536,0.006628278101048712
2020-11-05,1784124.4254465243,749450.0317086536,0.002773724932332078
2020-11-06,1783343.000769555,749450.0317086536,-0.00043798776913983595
2020-11-09,1768462.2239874778,749450.0317086536,-0.008344315577909489
2020-11-10,1771682.270330777,749450.0317086536,0.0018208171481541857
2020-11-11,1781384.3198248474,839481.1669767688,0.005476179141454596
2020-11-12,1769722.7071768283,839481.1669767688,-0.006546376611850757
2020-11-13,1784471.0245844675,839481.1669767688,0.00833368829355563
2020-11-16,1793752.0663009514,839481.1669767688,0.005201004436956369
2020-11-17,1784475.343189767,959240.8869550594,-0.005171686369295547
2020-11-18,1772458.1090100813,959240.8869550594,-0.006734323466865533
2020-11-19,1773939.0458315979,1048137.1422671378,0.0008355271213398296
2020-11-20,1766971.8836532305,1048137.1422671378,-0.003927509344099911
2020-11-23,1765266.904917097,1048137.1422671378,-0.0009649156004726267
2020-11-24,1772090.7311345297,1048137.1422671378,0.0038656059309927215
2020-11-25,1776586.1435348736,1048137.1422671378,0.0025367845569994607
2020-11-27,1778016.1349671436,1048137.1422671378,0.0008049097070095268
2020-11-30,1780964.1440503648,1048137.1422671378,0.0016580328070394668
2020-12-01,1781652.0937677943,1048137.1422671378,0.0003862793755435856
2020-12-02,1777288.368025124,762206.3210314901,-0.002449258055450043
2020-12-03,1776353.100101253,762206.3210314901,-0.0005262330754520761
2020-12-04,1787218.3647260605,762206.3210314901,0.0061166130901497695
2020-12-07,1790646.9386742944,762206.3210314901,0.0019183855850537501
2020-12-08,1788814.5460592033,762206.3210314901,-0.001023313181127472
2020-12-09,1789044.1830486744,762206.3210314901,0.0001283738384043609
2020-12-10,1789325.585665869,762206.3210314901,0.00015729215625914783
2020-12-11,1783376.860864195,762206.3210314901,-0.003324562533129072
2020-12-14,1786352.0263630953,762206.3210314901,0.001668276382961853
2020-12-15,1795405.1894902578,762206.3210314901,0.005067961406013621
2020-12-16,1799500.0784441945,762206.3210314901,0.0022807603419590095
2020-12-17,1804799.028612148,762206.3210314901,0.0029446790424898506
2020-12-18,1809888.682409613,762206.3210314901,0.00282006678681479
2020-12-21,1807301.1482196532,762206.3210314901,-0.0014296648269631618
2020-12-22,1810936.285135,853168.7829650957,0.0020113620350032946
2020-12-23,1808433.486551097,853168.7829650957,-0.0013820467370647682
2020-12-24,1813525.9963419794,853168.7829650957,0.0028159784856640613
2020-12-28,1810844.8048314133,853168.7829650957,-0.0014784411781105788
2020-12-29,1806505.2566257708,853168.7829650957,-0.0023964219319426716
2020-12-30,1806523.4792739935,853168.7829650957,1.0087237862110854e-05
2020-12-31,1813467.4759369413,853168.7829650957,0.003843845232356813
2021-01-04,1806114.5657674703,853168.7829650957,-0.004054613753506686
2021-01-05,1811131.9511828886,752838.2388325427,0.002777999530326758
2021-01-06,1809747.2413306343,752838.2388325427,-0.0007645549245320904
2021-01-07,1815881.4877383618,752838.2388325427,0.003389559750463844
2021-01-08,1826637.7523467382,752838.2388325427,0.0059234397624556845
2021-01-11,1828672.2492391015,752838.2388325427,0.0011137933012439483
2021-01-12,1836535.0104944394,752838.2388325427,0.004299710491374009
2021-01-13,1834203.763509187,752838.2388325427,-0.0012693724714917254
2021-01-14,1823114.7190587663,752838.2388325427,-0.006045699322525189
2021-01-15,1821313.2640975777,752838.2388325427,-0.0009881193664645904
2021-01-19,1824682.9966585925,752838.2388325427,0.0018501663757906073
2021-01-20,1829918.6998185317,752838.2388325427,0.002869376855885175
2021-01-21,1827294.5518500558,752838.2388325427,-0.0014340243469483926
2021-01-22,1823990.111254132,752838.2388325427,-0.0018083787272162866
2021-01-25,1828640.3741984728,752838.2388325427,0.002549500085361478
2021-01-26,1826655.6478456813,752838.2388325427,-0.001085356301214535
2021-01-27,1806153.5474190055,752838.2388325427,-0.011223845310338265
2021-01-28,1824075.9213501113,880695.4899356687,0.009922951432737692
2021-01-29,1812283.3940833276,880695.4899356687,-0.0064649322589902525
2021-02-01,1822623.52250335,880695.4899356687,0.005705580293777546
2021-02-02,1833453.837244845,803963.8123759605,0.005942156790898823
2021-02-03,1827045.9139106646,922483.776503646,-0.003495001185200075
2021-02-04,1832058.0610889178,922483.776503646,0.002743306635094367
2021-02-05,1834225.1858903887,1014518.0972006955,0.0011828908960356266
2021-02-08,1836097.4864654806,1014518.0972006955,0.0010207582959249617
2021-02-09,1834900.8156111985,1014518.0972006955,-0.0006517469051089408
2021-02-10,1837975.4030274507,1014518.0972006955,0.0016756150469243725
2021-02-11,1834833.082532111,1014518.0972006955,-0.0017096640630575033
2021-02-12,1841625.428889242,1014518.0972006955,0.0037018878838599445
2021-02-16,1837610.4846361051,1014518.0972006955,-0.0021801090439755866
2021-02-17,1840339.4671202947,1014518.0972006955,0.0014850712417053824
2021-02-18,1844658.2702665618,1014518.0972006955,0.002346742665376267
2021-02-19,1843113.1328673433,1134055.8272006956,-0.0008376279900316197
2021-02-22,1838954.1746884026,1134055.8272006956,-0.0022564855649802595
2021-02-23,1834545.771768413,1134055.8272006956,-0.002397233699821033
2021-02-24,1835386.4923990911,1134055.8272006956,0.00045827182053237436
2021-02-25,1825653.2309079526,1134055.8272006956,-0.005303112740257632
2021-02-26,1822353.1439158139,1134055.8272006956,-0.0018076198350645
2021-03-01,1832010.6958703953,1134055.8272006956,0.005299495318360492
