year,cost_dollars,pnl,gross_pnl,avg_equity_start,avg_round_trip_bps,avg_positions,cost_drag_pct_of_avg_equity,strategy_label,cost_scenario
2020,0.0,253152.5428909917,253152.5428909917,2150187.0260224207,0.0,10.0,0.0,improved_6,zero
2021,0.0,2780.3507936188835,2780.3507936188835,2281514.5635116384,0.0,10.0,0.0,improved_6,zero
2022,0.0,-58893.19010404856,-58893.19010404856,2217732.6232745578,0.0,10.0,0.0,improved_6,zero
2023,0.0,257310.28630596865,257310.28630596865,2254041.6611569324,0.0,10.0,0.0,improved_6,zero
2024,0.0,211286.19256091418,211286.19256091418,2619345.9282226344,0.0,10.0,0.0,improved_6,zero
2025,0.0,175308.8872898443,175308.8872898443,2678685.7667501764,0.0,10.0,0.0,improved_6,zero
2026,0.0,206316.06470994782,206316.06470994782,2906825.2954244176,0.0,8.0,0.0,improved_6,zero
2006,0.0,0.0,0.0,1000000.0,26.0,0.0,0.0,improved_6,central
2007,0.0,0.0,0.0,1000000.0,21.999999999999996,0.0,0.0,improved_6,central
2008,0.0,0.0,0.0,1000000.0,28.0,0.0,0.0,improved_6,central
2009,0.0,0.0,0.0,1000000.0,20.0,0.0,0.0,improved_6,central
2010,0.0,0.0,0.0,1000000.0,16.0,0.0,0.0,improved_6,central
2011,10800.0,-20565.88690239699,-9765.88690239699,961483.762374065,15.0,6.0,0.011232638992605537,improved_6,central
2012,14159.999999999996,63625.80229445189,77785.80229445189,1019691.5221581594,11.999999999999998,9.833333333333334,0.01388655264096989,improved_6,central
2013,13199.999999999996,239276.28501318913,252476.28501318913,1160948.3955689648,10.999999999999998,10.0,0.011370014421296357,improved_6,central
2014,10800.0,44304.745085581126,55104.745085581126,1342528.3282517798,9.0,10.0,0.00804452298899614,improved_6,central
2015,9600.0,32329.589233431347,41929.58923343134,1356608.346515836,8.0,10.0,0.00707647127828425,improved_6,central
2016,8400.0,118373.93128722746,126773.93128722746,1430417.337748967,7.0,10.0,0.005872412042501521,improved_6,central
2017,7199.999999999998,235444.9910640379,242644.9910640379,1558126.7933575262,5.999999999999999,10.0,0.00462093330959613,improved_6,central
2018,6000.0,506.1067231234265,6506.1067231234265,1686546.3082879425,5.0,10.0,0.003557566116337925,improved_6,central
2019,6000.0,196184.1588856614,202184.1588856614,1814464.049796203,5.0,10.0,0.0033067615755042975,improved_6,central
2020,7679.999999999998,245472.54289099164,253152.54289099164,2049826.2941946732,6.3999999999999995,10.0,0.0037466589348329553,improved_6,central
2021,4800.0,-2019.6492063811202,2780.3507936188835,2174793.8316838904,3.9999999999999996,10.0,0.002207105763346531,improved_6,central
2022,6000.0,-64893.190104048525,-58893.19010404853,2105661.8914468098,5.0,10.0,0.0028494603166690606,improved_6,central
2023,4800.0,252510.28630596862,257310.28630596862,2136520.9293291843,3.9999999999999996,10.0,0.0022466430981825593,improved_6,central
2024,3600.000000000001,207686.1925609142,211286.1925609142,2497575.1963948864,3.0000000000000004,10.0,0.0014413980428683007,improved_6,central
2025,3600.000000000001,171708.88728984425,175308.88728984425,2553315.0349224284,3.0000000000000004,10.0,0.0014099317752653939,improved_6,central
2026,1200.0000000000002,205116.0647099478,206316.0647099478,2778904.5635966696,3.0000000000000004,8.0,0.0004318248333245633,improved_6,central
2006,0.0,0.0,0.0,1000000.0,52.0,0.0,0.0,improved_6,pessimistic
2007,0.0,0.0,0.0,1000000.0,43.99999999999999,0.0,0.0,improved_6,pessimistic
2008,0.0,0.0,0.0,1000000.0,56.0,0.0,0.0,improved_6,pessimistic
2009,0.0,0.0,0.0,1000000.0,40.0,0.0,0.0,improved_6,pessimistic
2010,0.0,0.0,0.0,1000000.0,32.0,0.0,0.0,improved_6,pessimistic
2011,21600.0,-31365.886902397004,-9765.886902397004,958283.762374065,30.0,6.0,0.022540296359074133,improved_6,pessimistic
2012,26879.999999999993,32793.2358596021,59673.2358596021,995301.228098015,23.999999999999996,9.333333333333334,0.0270068992593998,improved_6,pessimistic
2013,26179.999999999996,221062.31404915213,247242.31404915213,1109087.5199974177,21.999999999999996,9.916666666666666,0.02360499016350031,improved_6,pessimistic
2014,21600.0,33504.74508558113,55104.74508558113,1277731.7908528931,18.0,10.0,0.016904956231527962,improved_6,pessimistic
