month,ticker,is_buy,status,exectype,size,price,value,commission
2019-08-31,CDW,True,Completed,0,924,108.43408858830001,100193.0978555892,0.0
2019-08-31,CLX,False,Completed,0,-811,124.46316112889998,100341.6393300012,0.0
2019-08-31,DECK,True,Completed,0,3839,26.05,100005.95,0.0
2019-08-31,HLT,True,Completed,0,1054,94.7244502428,99839.57055591121,0.0
2019-08-31,HSY,False,Completed,0,-879,129.2129604817,100379.5716270588,0.0
2019-08-31,LLY,False,Completed,0,-984,99.9251537809,100391.7278066064,0.0
2019-08-31,MTD,True,Completed,0,132,758.86,100169.52,0.0
2019-08-31,PEP,False,Completed,0,-936,104.9900048594,100579.5779617512,0.0
2019-09-30,CDW,False,Completed,0,-924,105.9850775808,100193.0978555892,0.0
2019-09-30,DECK,False,Completed,0,-3839,24.3133333333,100005.95,0.0
2019-09-30,ERIE,False,Completed,0,-451,190.0635380752,100891.4638586096,0.0
2019-09-30,HSY,True,Completed,0,740,135.0237182424,99917.551499376,0.0
2019-09-30,IDXX,True,Completed,0,345,288.89,99667.04999999999,0.0
2019-09-30,LLY,True,Completed,0,960,103.7547550445,99604.56484272,0.0
2019-09-30,MA,True,Completed,0,369,269.5801716763,99475.08334855469,0.0
2019-09-30,MSCI,False,Completed,0,-583,217.2588870417,101199.68374507531,0.0
2019-09-30,MTD,False,Completed,0,-132,654.98,100169.52,0.0
2019-09-30,PEP,True,Completed,0,898,111.0064141019,99683.7598635062,0.0
2019-10-31,FDS,True,Completed,0,441,226.9676681354,100092.7416477114,0.0
2019-10-31,LLY,False,Completed,0,-960,103.2015930308,99604.56484272,0.0
2019-10-31,MA,False,Completed,0,-369,261.3961956085,99475.08334855469,0.0
2019-10-31,MU,True,Completed,0,2393,42.0277961565,100572.5162025045,0.0
2019-10-31,PEP,False,Completed,0,-898,112.2615330858,99683.7598635062,0.0
2019-10-31,UPS,True,Completed,0,1101,91.1255584414,100329.2398439814,0.0
2019-11-30,BLDR,True,Completed,0,4422,23.5,103917.0,0.0
2019-11-30,FDS,False,Completed,0,-441,237.5854929458,100092.7416477114,0.0
2019-11-30,HSY,False,Completed,0,-740,125.4643661558,99917.551499376,0.0
2019-11-30,LLY,True,Completed,0,951,105.1653181796,100012.21758879961,0.0
2019-11-30,MU,False,Completed,0,-2393,46.2988343738,100572.5162025045,0.0
2019-11-30,NVR,True,Completed,0,27,3651.9,98601.3,0.0
2019-11-30,STX,True,Completed,0,2164,44.1764279076,95597.7899920464,0.0
2019-11-30,UPS,False,Completed,0,-1101,88.2534930236,100329.2398439814,0.0
2019-12-31,BLDR,False,Completed,0,-4422,25.46,103917.0,0.0
2019-12-31,NTAP,True,Completed,0,1959,50.6106598768,99146.2826986512,0.0
2019-12-31,NVR,False,Completed,0,-27,3771.11,98601.3,0.0
2019-12-31,QCOM,True,Completed,0,1385,72.5419163961,100470.5542085985,0.0
2020-01-31,QCOM,False,Completed,0,-1385,77.5024157675,100470.5542085985,0.0
2020-01-31,UPS,True,Completed,0,1118,89.8699271182,100474.5785181476,0.0
2020-02-29,QCOM,True,Completed,0,1346,74.456279269,100218.151896074,0.0
2020-02-29,UPS,False,Completed,0,-1118,79.5449660829,100474.5785181476,0.0
2020-03-31,BLDR,True,Completed,0,4403,23.24,102325.71999999999,0.0
2020-03-31,HLT,False,Completed,0,-1054,95.7574579686,99839.57055591121,0.0
2020-03-31,LOW,True,Completed,0,1051,95.6194418827,100496.0334187177,0.0
2020-03-31,MA,True,Completed,0,356,288.5108255606,102709.85389957359,0.0
2020-03-31,NTAP,False,Completed,0,-1959,39.9156533275,99146.2826986512,0.0
2020-03-31,STX,False,Completed,0,-2164,39.4368092897,95597.7899920464,0.0
2020-04-30,BLDR,False,Completed,0,-4403,11.525,102325.71999999999,0.0
2020-04-30,GEN,True,Completed,0,6101,15.8976120128,96991.3308900928,0.0
2020-04-30,GNRC,True,Completed,0,1073,88.04,94466.92000000001,0.0
2020-04-30,IDXX,False,Completed,0,-345,237.81,99667.04999999999,0.0
2020-04-30,NTAP,True,Completed,0,2826,34.052193198,96231.49797754799,0.0
2020-04-30,QCOM,False,Completed,0,-1346,56.9998849567,100218.151896074,0.0
2020-05-31,CPB,True,Completed,0,2486,39.9393572229,99289.2420561294,0.0
2020-05-31,EBAY,True,Completed,0,2782,34.9888473842,97338.9734228444,0.0
2020-05-31,GNRC,False,Completed,0,-1073,95.29,94466.92000000001,0.0
2020-05-31,IDXX,True,Completed,0,360,277.51,99903.59999999999,0.0
2020-05-31,LOW,False,Completed,0,-1051,91.9700882721,100496.0334187177,0.0
2020-05-31,MA,False,Completed,0,-356,259.7520988575,102709.85389957359,0.0
2020-05-31,NTAP,False,Completed,0,-2826,36.5612736321,96231.49797754799,0.0
2020-05-31,WAT,True,Completed,0,534,184.39,98464.26,0.0
2020-06-30,CLX,True,Completed,0,587,170.2519287871,99937.88219802771,0.0
2020-06-30,CPB,False,Completed,0,-2486,41.4278304473,99289.2420561294,0.0
2020-06-30,IDXX,False,Completed,0,-360,308.65,99903.59999999999,0.0
2020-06-30,LOW,True,Completed,0,855,116.5462903967,99647.0782891785,0.0
2020-07-31,CLX,False,Completed,0,-587,180.1759294855,99937.88219802771,0.0
2020-07-31,EBAY,False,Completed,0,-2782,47.7241301363,97338.9734228444,0.0
2020-07-31,IDXX,True,Completed,0,302,331.74,100185.48,0.0
2020-07-31,MA,True,Completed,0,349,286.1043214658,99850.4081915642,0.0
2020-08-31,EBAY,True,Completed,0,1997,50.4222501857,100693.2336208429,0.0
2020-08-31,GEN,False,Completed,0,-6101,18.8903693468,96991.3308900928,0.0
2020-08-31,MA,False,Completed,0,-349,301.0441364098,99850.4081915642,0.0
2020-08-31,NTAP,True,Completed,0,2598,38.3661113749,99675.1573519902,0.0
2020-08-31,ORLY,False,Completed,0,-5567,31.974,100172.598,0.0
2020-08-31,ROK,True,Completed,0,507,198.2232808527,100499.20339231889,0.0
2020-08-31,STX,True,Completed,0,2672,37.5880529885,100435.27758527201,0.0
2020-08-31,WAT,False,Completed,0,-534,214.18,98464.26,0.0
2020-09-30,AAPL,True,Completed,0,798,128.7854207854,102770.7657867492,0.0
2020-09-30,NRG,True,Completed,0,3415,29.210836617899997,99755.0070501285,0.0
2020-09-30,NTAP,False,Completed,0,-2598,41.050088829,99675.1573519902,0.0
2020-09-30,ORLY,True,Completed,0,3221,31.1566666667,100355.6233334407,0.0
2020-09-30,ROK,False,Completed,0,-507,208.1670500071,100499.20339231889,0.0
2020-09-30,STX,False,Completed,0,-2672,39.7314492289,100435.27758527201,0.0
2020-10-31,AAPL,False,Completed,0,-798,114.1180845224,102770.7657867492,0.0
2020-10-31,CLX,True,Completed,0,573,173.8331765527,99606.4101646971,0.0
2020-10-31,GEN,True,Completed,0,5416,18.6316557488,100909.0475355008,0.0
2020-10-31,IDXX,False,Completed,0,-302,396.29,100185.48,0.0
2020-10-31,LMT,False,Completed,0,-418,328.3814409531,100409.74183171139,0.0
2020-10-31,NTAP,True,Completed,0,2626,38.5398315984,101205.5977773984,0.0
2020-11-30,CL,True,Completed,0,1442,70.4408802313,101575.7492935346,0.0
2020-11-30,CLX,False,Completed,0,-573,178.3712736068,99606.4101646971,0.0
