month,value,cash,return
2017-04-30,1083302.1813574727,76742.20530530343,0.005601325802994106
2017-05-31,1110142.5978661997,260808.80437141372,0.02477648154930656
2017-06-30,1111299.2485681751,1111299.2485681751,0.0010418938109379994
2017-07-31,1143152.9686821166,108973.87238009536,0.02866349469324536
2017-08-31,1146850.62340758,1146850.62340758,0.0032346106135963115
2017-09-30,1146850.62340758,1146850.62340758,0.0
2017-10-31,1146850.62340758,1146850.62340758,0.0
2017-11-30,1186314.8502216844,139642.57508540264,0.03441095641282943
2017-12-31,1198686.1506829017,138643.14260327903,0.010428344936342482
2018-01-31,1260982.1000897218,132553.205609938,0.05197019200674813
2018-02-28,1249951.170229571,1249951.170229571,-0.0087478877450885
2018-03-31,1233127.7918986958,247539.09377820534,-0.013459228433527759
2018-04-30,1237247.7851407232,247773.46031347997,0.0033410918714951165
2018-05-31,1325381.461753664,242115.39841294847,0.07123365074597143
2018-06-30,1306384.2032917093,253779.18412697324,-0.014333427024713852
2018-07-31,1358124.3591778618,244789.40906968914,0.03960561966057341
2018-08-31,1359071.9135725803,1359071.9135725803,0.0006976933948021902
2018-09-30,1359071.9135725803,1359071.9135725803,0.0
2018-10-31,1216121.1861837795,354808.6695944208,-0.10518260730812068
2018-11-30,1217980.5189949707,1217980.5189949707,0.0015289042180293144
2018-12-31,1138835.0569005453,204969.3615104162,-0.06498089325741696
2019-01-31,1125730.0689485734,1125730.0689485734,-0.011507362609330274
2019-02-28,1125730.0689485734,1125730.0689485734,0.0
2019-03-31,1125730.0689485734,1125730.0689485734,0.0
2019-04-30,1165341.7806653199,118622.08491120329,0.03518757543159845
2019-05-31,1127246.5898256104,213264.1280059098,-0.032690144189252424
2019-06-30,1193006.6893161992,103159.1063050571,0.0583369247546468
2019-07-31,1203047.590770013,1203047.590770013,0.008416467018780072
2019-08-31,1203047.590770013,1203047.590770013,0.0
2019-09-30,1203047.590770013,1203047.590770013,0.0
2019-10-31,1249838.1324888184,199009.98941409512,0.038893342273232046
2019-11-30,1270289.0964082447,200685.8478096443,0.01636289003176916
2019-12-31,1303428.9020503229,207073.1296261045,0.026088396519958534
2020-01-31,1319154.8828231755,210940.4387966302,0.012065085213405435
2020-02-29,1326682.5491944763,1326682.5491944763,0.005706431041054616
2020-03-31,1215374.0369749523,312350.14292535867,-0.08389988417885452
2020-04-30,1313077.871392356,365076.1045400008,0.08038993054400523
2020-05-31,1400282.6686856493,270042.9132865356,0.06641251002183401
2020-06-30,1426747.4381330367,318187.6599567336,0.018899590803497013
2020-07-31,1555029.8870975943,396058.07477581647,0.08991251397123312
2020-08-31,1623714.929542508,549849.4069485955,0.04416959636262141
2020-09-30,1587505.9268401875,557642.5824665676,-0.022300098399983703
2020-10-31,1598296.40154022,538857.431074102,0.006797124040670566
2020-11-30,1658522.1836037012,589850.6009706381,0.03768123484820696
2020-12-31,1715233.310863499,620331.5772823346,0.03419377070771157
2021-01-31,1698935.6335682943,647516.9777448729,-0.009501726203649752
2021-02-28,1757976.7764575356,699493.642833825,0.034751842107894504
2021-03-31,1757972.3692102656,693497.4888479303,-2.506999710716329e-06
2021-04-30,1814279.7313694013,738438.1292791663,0.03202971966187995
2021-05-31,1812421.3913925586,757632.9902439218,-0.001024285254755064
2021-06-30,1815275.6313615367,806470.6583257138,0.001574821386755465
2021-07-31,1827447.9732629708,817718.9089106714,0.006705506145259221
2021-08-31,1839738.7062631757,798812.9868832403,0.0067256267647715084
2021-09-30,1797839.4324552687,799887.8562683567,-0.02277457862101062
2021-10-31,1895284.599465589,776955.7805478794,0.054201262499422365
2021-11-30,1876741.749395677,798879.2596446051,-0.009783675800004166
2021-12-31,1944381.0596259902,800282.4439403879,0.03604081928272418
2022-01-31,1903244.2453023577,840328.0192437762,-0.021156765604137928
2022-02-28,1904556.3457891555,853440.3581690517,0.0006894020512797638
2022-03-31,1909773.1968112634,881260.6192688582,0.002739142390637106
2022-04-30,1873018.073995247,876702.23229723,-0.019245805144498918
