month,ticker,size,price,market_value
2016-11-30,LMT,532,206.2639024396,109732.3960978672
2016-11-30,MO,6526,33.0533944363,215706.45209129382
2016-11-30,SPGI,1225,109.2007553673,133770.9253249425
2016-11-30,TPL,3750,29.8787166243,112045.187341125
2016-11-30,UPS,1532,80.3654953639,123119.9388974948
2016-12-31,CLX,1764,90.4473350329,159549.0989980356
2016-12-31,KLAC,1629,67.8058909721,110455.7963935509
2016-12-31,KMB,1091,82.594561626,90110.666733966
2016-12-31,LII,960,137.3469026246,131853.02651961602
2016-12-31,LMT,532,194.3585288436,103398.7373447952
2016-12-31,MCD,1050,97.1336837531,101990.36794075501
2016-12-31,MO,6526,35.2779123798,230223.6561905748
2016-12-31,OKE,3264,32.0184768921,104508.30857581439
2016-12-31,SPGI,1225,98.6927408371,120898.6075254475
2016-12-31,UPS,1532,79.4780916883,121760.4364664756
2017-01-31,BA,693,151.4407113548,104948.4129688764
2017-01-31,CLX,1764,91.0301622485,160577.20620635402
2017-01-31,KMB,1091,87.6680621255,95645.8557789205
2017-01-31,LII,960,140.6108755015,134986.44048144
2017-01-31,LMT,532,195.4394216782,103973.7723328024
2017-01-31,MCD,1050,97.8119916006,102702.59118063
2017-01-31,MO,6526,37.1351937769,242344.27458804942
2017-01-31,OKE,3264,31.0798493537,101444.6282904768
2017-01-31,SPGI,1225,110.2928546941,135108.7470002725
2017-01-31,UPS,1532,75.6580961789,115908.20334607479
2017-02-28,BA,693,168.4662892967,116747.13848261311
2017-02-28,BLDR,9293,12.94,120251.42
2017-02-28,CLX,1764,103.7819708101,183071.3965090164
2017-02-28,KMB,1091,95.9333083029,104663.2393584639
2017-02-28,LII,960,147.6140700533,141709.507251168
2017-02-28,LMT,532,208.6988011244,111027.7621981808
2017-02-28,MCD,1050,102.6199057924,107750.90108202
2017-02-28,MO,6526,39.0863826604,255077.7332417704
2017-02-28,OKE,3264,30.4820514892,99493.4160607488
2017-02-28,SPGI,1225,119.1910717779,146009.0629279275
2017-03-31,BA,693,165.3162510404,114564.1619709972
2017-03-31,CLX,1764,102.279973133,180421.87260661199
2017-03-31,KLAC,1279,82.4379344955,105438.1182197445
2017-03-31,KMB,1091,95.965676717,104698.55329824699
2017-03-31,LII,960,150.3996169723,144383.632293408
2017-03-31,LMT,532,209.4973335617,111452.58145482441
2017-03-31,MCD,1050,104.1955815884,109405.36066782
2017-03-31,MO,6526,37.5608511651,245122.11470344258
2017-03-31,OKE,3264,31.2659562361,102052.0811546304
2017-03-31,SPGI,1225,120.3602434868,147441.29827133002
2017-04-30,BA,693,172.7660447801,119726.8690326093
2017-04-30,CLX,1764,102.0158984921,179956.0449400644
2017-04-30,KMB,1091,94.5950509308,103203.2005655028
2017-04-30,LII,960,148.68256217,142735.2596832
2017-04-30,LMT,532,210.9456521981,112223.0869693892
2017-04-30,MCD,1050,112.4919970038,118116.59685398999
2017-04-30,MO,6526,37.7501805745,246357.678429187
2017-04-30,OKE,3264,30.0141671503,97966.2415785792
2017-04-30,SPGI,1225,123.5363398615,151332.0163303375
2017-04-30,TPL,3540,31.0035119474,109752.432293796
2017-05-31,BA,693,176.7428476145,122482.7933968485
2017-05-31,CLX,1764,103.5725776224,182702.0269259136
2017-05-31,KMB,1091,94.5804698054,103187.2925576914
2017-05-31,LII,960,159.2096363765,152841.25092144
2017-05-31,LMT,532,221.5197544029,117848.50934234279
2017-05-31,MCD,1050,121.3029188015,127368.064741575
2017-05-31,MO,6526,39.6750295701,258919.2429744726
2017-05-31,OKE,3264,28.3425931197,92510.22394270079
2017-05-31,SPGI,1225,131.8583551587,161526.4850694075
2017-05-31,STX,3427,30.1715942932,103398.0536427964
2017-06-30,BA,693,186.2756388411,129089.0177168823
2017-06-30,CLX,1764,101.6725133898,179350.31361960722
2017-06-30,IT,836,123.51,103254.36
2017-06-30,KMB,1091,94.8297191372,103459.2235786852
2017-06-30,LII,960,165.545319367,158923.50659232
2017-06-30,LMT,532,218.7461281961,116372.94020032519
2017-06-30,OKE,3264,29.7574407633,97128.2866514112
2017-06-30,SPGI,1225,134.7944910694,165123.25156001502
2017-06-30,UPS,1340,77.8795393543,104358.58273476199
2017-06-30,WYNN,860,121.1727754196,104208.586860856
2017-07-31,BA,693,228.3913597644,158275.2123167292
2017-07-31,CLX,1764,102.5141169797,180834.9023521908
2017-07-31,IT,836,128.32,107275.51999999999
2017-07-31,KMB,1091,90.4595167604,98691.3327855964
2017-07-31,LII,960,154.1507820287,147984.750747552
2017-07-31,LMT,532,230.1873362989,122459.66291101479
2017-07-31,MO,2532,34.4467900611,87219.27243470521
2017-07-31,SPGI,1225,141.8116712333,173719.2972607925
2017-07-31,UPS,1340,77.6682737624,104075.486841616
2017-07-31,WYNN,860,116.8542109512,100494.62141803201
2017-08-31,BA,693,227.1219752239,157395.5288301627
2017-08-31,CLX,1764,106.3846027807,187662.4393051548
2017-08-31,IT,836,120.59,100813.24
2017-08-31,KMB,1091,90.5550001737,98795.5051895067
2017-08-31,LII,960,149.4000532492,143424.051119232
2017-08-31,LMT,532,242.0655425135,128778.868617182
2017-08-31,SPGI,1225,142.8806801232,175028.83315092
2017-08-31,TPL,2983,40.7847964142,121661.04770355861
2017-08-31,UPS,1340,81.1370724411,108723.67707107401
2017-08-31,WYNN,860,126.0553635872,108407.61268499201
2017-09-30,BA,693,240.9107791106,166951.1699236458
2017-09-30,CLX,1764,101.3007503992,178694.5237041888
2017-09-30,HD,820,133.0641159046,109112.57504177198
2017-09-30,KMB,1091,87.135480824,95064.809578984
2017-09-30,LII,960,161.8031893169,155331.061744224
2017-09-30,LMT,532,245.9494979748,130845.1329225936
2017-09-30,MO,2974,33.9813214745,101060.450065163
2017-09-30,SPGI,1225,144.7137893479,177274.3919511775
2017-09-30,UPS,1340,85.2024399217,114171.26949507801
2017-09-30,WYNN,860,135.0612615685,116152.68494890998
2017-10-31,BA,693,244.4835482277,169427.0989217961
2017-10-31,CLX,1764,97.8107930892,172538.23900934882
2017-10-31,HD,820,134.8701952474,110593.56010286801
2017-10-31,KMB,1091,83.3073839863,90888.3559290533
2017-10-31,LII,960,172.7968015541,165884.929491936
2017-10-31,LMT,532,244.2611663151,129946.94047963321
2017-10-31,MO,2974,34.4099726442,102335.25864385082
2017-10-31,SPGI,1225,144.8619193863,177455.8512482175
2017-10-31,UPS,1340,83.3861500874,111737.441117116
2017-10-31,WYNN,860,133.7643397041,115037.332145526
2017-11-30,ABBV,1585,67.7272868406,107347.749642351
2017-11-30,CLX,1764,107.6745860223,189937.96974333722
2017-11-30,HD,820,147.0269839448,120562.126834736
2017-11-30,KMB,1091,88.6756048902,96745.0849352082
2017-11-30,LII,960,189.6217294928,182036.860313088
2017-11-30,LMT,532,254.5338321882,135411.9987241224
2017-11-30,MO,2974,36.3442610472,108087.8323543728
2017-11-30,SPGI,1225,153.585569007,188142.322033575
2017-11-30,UPS,1340,86.7989688669,116310.61828164599
2017-11-30,WYNN,860,143.841606933,123703.78196238
2017-12-31,ABBV,1585,67.5805397272,107115.15546761201
2017-12-31,ALLE,1326,71.4178402575,94700.056181445
2017-12-31,HD,820,154.9662121403,127072.293955046
2017-12-31,KMB,1091,90.0656331884,98261.6058085444
2017-12-31,LII,960,188.7395189525,181189.9381944
2017-12-31,LMT,532,256.0732226874,136230.9544696968
2017-12-31,MU,2419,40.0970528528,96994.77085092319
2017-12-31,SPGI,1225,157.2238058363,192599.16214946748
2017-12-31,UPS,1340,85.1551843598,114107.947042132
2017-12-31,WYNN,860,153.4049627583,131928.267972138
2018-01-31,ALLE,1326,77.2975141349,102496.5037428774
2018-01-31,APO,4015,26.5992066396,106795.814657994
2018-01-31,CLX,869,110.1709058462,95738.5171803478
2018-01-31,HD,820,164.2627131271,134695.424764222
2018-01-31,KMB,1091,87.3336572438,95281.02005298581
2018-01-31,LII,960,197.4850118838,189585.61140844802
2018-01-31,LMT,532,283.0324967159,150573.2882528588
2018-01-31,SPGI,1225,168.0828290257,205901.4655564825
2018-01-31,UPS,1340,90.9941928047,121932.218358298
2018-01-31,WYNN,860,150.6751751773,129580.650652478
2018-02-28,ALLE,1326,75.502193867,100115.909067642
2018-02-28,CLX,869,100.3660140209,87218.06618416209
2018-02-28,HD,820,149.0301877634,122204.753965988
2018-02-28,KMB,1091,82.7952928332,90329.66448102119
2018-02-28,LII,960,185.4497635803,178031.773037088
2018-02-28,LMT,532,282.7054759362,150399.3131980584
2018-02-28,MO,2629,34.0361206297,89480.96113548131
2018-02-28,SPGI,1225,178.4781061438,218635.680026155
2018-02-28,UPS,1340,75.2588728321,100846.889595014
2018-02-28,WYNN,860,152.8773612455,131474.53067113
2018-03-31,ABBV,1226,66.6140749669,81668.8559094194
2018-03-31,HD,820,146.5756817265,120192.05901572999
2018-03-31,HLT,1274,76.6461996655,97647.25837384701
2018-03-31,KMB,1091,82.9392551211,90486.7273371201
2018-03-31,LII,960,185.6763307547,178249.277524512
2018-03-31,ORLY,6142,16.492,101293.864
2018-03-31,SPGI,1225,177.789504483,217792.142991675
2018-03-31,TPL,1837,51.3155867206,94266.7328057422
