signal_month,n_obs,r_squared_refit,selected_variables,intercept,ma_dev_3,ma_dev_5,ma_dev_10,ma_dev_20,ma_dev_50,ma_dev_100,ma_dev_200,ma_dev_400,ma_dev_600,ma_dev_800,ma_dev_1000
2021-08-31,135,0.028025805889959843,ma_dev_3|ma_dev_5,0.012742035791084237,-2.1697221998374028,1.3453736701271848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,136,0.029013160684265404,ma_dev_3|ma_dev_5,0.012368197917214033,-2.2202062193211045,1.387534701784172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,137,0.03355122142686884,ma_dev_3|ma_dev_5,0.012841401160850563,-2.3542630038312327,1.5283209817137196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-30,138,0.03282787506974938,ma_dev_3|ma_dev_5,0.012660061807670457,-2.320990944407338,1.5172372179866334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,139,0.04120887292415931,ma_dev_3|ma_dev_5|ma_dev_20,0.013214263734396848,-2.132816288000291,1.1929433874162787,0.0,0.20726258341850837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,140,0.04248820943612419,ma_dev_3|ma_dev_5|ma_dev_20,0.012833218607067954,-2.1042128846930797,1.1211008285697728,0.0,0.2399298316067782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,141,0.030793405508354188,ma_dev_3|ma_dev_5,0.012005251895278625,-2.1592639240240556,1.5187656220385113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,142,0.029050619114693643,ma_dev_3|ma_dev_5,0.012187289113923782,-2.118185493431409,1.4685340998562673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,143,0.04896688419398898,ma_dev_3|ma_dev_5|ma_dev_20,0.012137063222608383,-2.1784952778551605,1.165992883267938,0.0,0.2645432310319611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,144,0.0484369964836916,ma_dev_3|ma_dev_5|ma_dev_20,0.012028057114234615,-2.249344226951526,1.2086719413970557,0.0,0.2458949212743179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,145,0.06069802320743256,ma_dev_3|ma_dev_5|ma_dev_20,0.011793225910001677,-2.6349032666027936,1.5362054900583484,0.0,0.23287912058551977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-31,146,0.08514047466471542,ma_dev_3|ma_dev_5|ma_dev_20|ma_dev_50,0.013755002731291622,-3.147555059660701,2.126056800302992,0.0,-0.1303884980742826,0.24409601824152724,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-31,147,0.07548241909684372,ma_dev_3|ma_dev_5|ma_dev_20,0.012233798623084415,-2.826383671267903,1.7351366731487956,0.0,0.2597792942303007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,148,0.04305214355125153,ma_dev_3|ma_dev_5,0.010720452882805615,-2.693735892193522,1.789383192917883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-31,149,0.03563116189092752,ma_dev_3|ma_dev_5,0.011078265801959284,-2.3180882419202695,1.6551476154555247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-30,150,0.035728889997142854,ma_dev_3|ma_dev_5,0.011381309712530254,-2.3478913360083418,1.6625558847128739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,151,0.008198376568520738,ma_dev_5,0.009474416779646243,0.0,0.3479236146595751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,152,0.007837024580591878,ma_dev_5,0.009820974149552478,0.0,0.3418387898989076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-28,153,0.008353497493558959,ma_dev_5,0.009608740398147117,0.0,0.35335274720001053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,154,0.008614396573765393,ma_dev_5,0.00976865129852848,0.0,0.3590670386425375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30,155,0.008195597461355897,ma_dev_5,0.009837501308536504,0.0,0.3467642362617261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-31,156,0.008349262763557186,ma_dev_5,0.009821422017667399,0.0,0.3485698311438692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-30,157,0.008093815652694625,ma_dev_5,0.010172764356748234,0.0,0.3450587432176454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31,158,0.007315431285041973,ma_dev_5,0.01032065361561907,0.0,0.32672682130539105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-31,159,0.0075208469242208364,ma_dev_5,0.010157923311964969,0.0,0.33162658492672276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-30,160,0.008397123009941998,ma_dev_5,0.009825975362803685,0.0,0.3520871947153976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-31,161,0.008173625169866305,ma_dev_5,0.009621137171951896,0.0,0.3479160301419024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-30,162,0.0067007018026868925,ma_dev_5,0.010099999479624708,0.0,0.3180962755879087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,163,0.0065641172550918725,ma_dev_5,0.010311542206845808,0.0,0.31545719570289144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,164,0.006582982962125561,ma_dev_5,0.01034482567472685,0.0,0.31590746346691356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-29,165,0.007559156191031757,ma_dev_5,0.010595910311381056,0.0,0.33836273646427323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,166,0.007443482509924437,ma_dev_5,0.010723024493788699,0.0,0.3359668883561217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,167,0.00777138037866465,ma_dev_5,0.010426588253574696,0.0,0.3447518052788321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,168,0.00847139258246743,ma_dev_5,0.010648362414902808,0.0,0.36012347664096206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-30,169,0.0085134897090553,ma_dev_5,0.010791349454479628,0.0,0.3613637221260098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,170,0.008515868413488725,ma_dev_5,0.010791667766742405,0.0,0.3613697126261368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,171,0.008133958376638883,ma_dev_5,0.010878750457759928,0.0,0.35215769189345697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,172,0.008009744227066129,ma_dev_5,0.010942241911927532,0.0,0.349294428846674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,173,0.008132957735896507,ma_dev_5,0.010832386836990183,0.0,0.35214197518014656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,174,0.009879625294172412,ma_dev_5,0.01109780867854988,0.0,0.3867149686219915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,175,0.010210587834567852,ma_dev_5,0.010909223677363413,0.0,0.3937949081424239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-31,176,0.010742124378544382,ma_dev_5,0.010974629811478731,0.0,0.4016992442114697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,177,0.010603794999666238,ma_dev_5,0.010828223243173653,0.0,0.3994785927842619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,178,0.010667182761363914,ma_dev_5,0.01045222047160526,0.0,0.4036768364255368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-30,179,0.01003506070473259,ma_dev_5,0.010315789933801455,0.0,0.3903346980913679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-31,180,0.009231746679948527,ma_dev_5,0.010602535962399101,0.0,0.37569328391859336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-30,181,0.008872007289539963,ma_dev_5,0.010821278597952622,0.0,0.36910712954188374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31,182,0.008582616577563318,ma_dev_5,0.01089604834821862,0.0,0.36230345881943327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-31,183,0.008678994177027999,ma_dev_5,0.010932506912323755,0.0,0.3640831154030685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-30,184,0.008791186495755388,ma_dev_5,0.011064315370533595,0.0,0.3667362930631768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,185,0.008627649401417026,ma_dev_5,0.011136337405191137,0.0,0.3631387876486723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-30,186,0.008523656975497396,ma_dev_5,0.011074819286383392,0.0,0.3608343478198252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-31,187,0.008802933756457687,ma_dev_5,0.011045265744831077,0.0,0.36503009484722215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-31,188,0.008829636899356785,ma_dev_5,0.01104305070558034,0.0,0.3648604300012204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-28,189,0.008620319824689582,ma_dev_5,0.010928562284467173,0.0,0.36056568282870244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31,190,0.008134340339739254,ma_dev_5,0.010592571653523801,0.0,0.35228139006613196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,191,0.006116920351656119,ma_dev_5,0.0110645517281403,0.0,0.3090218275908937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-31,192,0.0056817224553941115,ma_dev_5,0.011275506059068612,0.0,0.2983742814199314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
