month,factor,portfolio_fmp_return,top_return,bottom_return,n_top,n_bottom
2019-04-30,roe,-0.02772098380844725,-0.07245045068482833,-0.04472946687638108,94,94
2019-05-31,roe,0.00985202663017587,0.08410121508423105,0.07424918845405518,94,94
2019-06-30,roe,0.008522863321103928,0.016394465503252145,0.007871602182148217,94,94
2019-07-31,roe,-0.0014486525741453128,-0.018801437380562384,-0.01735278480641707,94,94
2019-08-31,roe,-0.015664930244460407,0.019635552901500892,0.0353004831459613,94,95
2019-09-30,roe,0.03357619706235637,0.03304359888702441,-0.0005325981753319611,94,95
2019-10-31,roe,0.002431448743819113,0.04317931754836811,0.040747868804548996,94,95
2019-11-30,roe,0.005216710548286811,0.037199209151513556,0.031982498603226744,95,95
2019-12-31,roe,-0.016281029546979593,-0.012886206462277266,0.003394823084702327,95,95
2020-01-31,roe,-0.0083477247248646,-0.07774633629613825,-0.06939861157127365,95,95
2020-02-29,roe,0.0672128200075022,-0.14070899384023913,-0.20792181384774133,95,95
2020-03-31,roe,-0.041080264216464185,0.1379274571612025,0.17900772137766668,95,95
2020-04-30,roe,0.021736805597450802,0.07913424163546032,0.057397436038009515,95,95
2020-05-31,roe,-0.00703106763830149,0.024915243121995563,0.03194631076029705,95,96
2020-06-30,roe,-0.0022895043587543226,0.04533801148581934,0.04762751584457366,95,96
2020-07-31,roe,-0.018583968821177424,0.05174108383549722,0.07032505265667464,95,96
2020-08-31,roe,0.02410972960446214,-0.018099857664400764,-0.042209587268862904,96,96
2020-09-30,roe,-0.016170473098834244,-0.02472062167119113,-0.008550148572356886,96,96
2020-10-31,roe,-0.11533710390173202,0.11509239862113374,0.23042950252286576,96,96
2020-11-30,roe,-0.011587846373118674,0.036713848012262094,0.04830169438538077,96,96
2020-12-31,roe,-0.01742067247150356,-0.016418904953809484,0.0010017675176940768,96,96
2021-01-31,roe,-0.09097312767713321,0.03109803721193652,0.12207116488906973,96,96
2021-02-28,roe,0.03060300831050885,0.06708543106037641,0.036482422749867564,96,97
2021-03-31,roe,-0.00018783562860288927,0.04862300962055002,0.04881084524915291,96,97
2021-04-30,roe,-0.015552828974004125,0.0092065944402425,0.024759423414246626,96,97
2021-05-31,roe,0.028953618405304367,0.030762817950349144,0.0018091995450447787,96,97
2021-06-30,roe,0.04576160668319453,0.02991344504638192,-0.015848161636812613,96,97
2021-07-31,roe,0.004540107198059064,0.024833228677283326,0.020293121479224262,96,97
2021-08-31,roe,-0.044843983917115145,-0.057039283934649396,-0.012195300017534251,97,97
2021-09-30,roe,0.029728750581309575,0.07160707780124025,0.04187832721993067,97,97
2021-10-31,roe,0.035618336896741196,-0.002539749918912493,-0.03815808681565369,97,97
2021-11-30,roe,0.006249657741864652,0.06031438749823281,0.05406472975636816,97,97
2021-12-31,roe,-0.038338564188930425,-0.0735546394813731,-0.035216075292442674,97,98
2022-01-31,roe,-0.006173266960652743,-0.019305623992083874,-0.013132357031431131,97,98
2022-02-28,roe,-0.01897497880503057,0.02894382826233233,0.0479188070673629,98,98
2022-03-31,roe,0.018575661268566884,-0.058885285734041115,-0.077460947002608,98,98
2022-04-30,roe,0.020512845414863163,0.0030304404682088837,-0.01748240494665428,98,98
2022-05-31,roe,0.006185420986351539,-0.09773605198895437,-0.1039214729753059,98,98
2022-06-30,roe,0.008519290088548806,0.10502728591783855,0.09650799582928975,98,98
2022-07-31,roe,-0.019968034905324332,-0.03778098992996757,-0.017812955024643237,98,98
2022-08-31,roe,0.008333351969755334,-0.08917092044880963,-0.09750427241856496,98,98
2022-09-30,roe,0.015892239506891365,0.11183407642578751,0.09594183691889614,98,98
