month,factor,regression_fmp_return,regression_t_stat,regression_r2,n_obs
2011-08-31,roe,-0.0021116508844988865,-0.5509446337189402,0.0007308870746233209,417
2011-09-30,roe,-0.004227179014623906,-0.8695489363097071,0.0018230360557660585,416
2011-10-31,roe,-0.0015479702112796065,-0.4860511116101791,0.0005675759512723255,418
2011-11-30,roe,-0.0037796690488912372,-1.2389607160989877,0.003650168403790288,421
2011-12-31,roe,-0.003015738328724091,-0.6520392857863709,0.0010136617341786058,421
2012-01-31,roe,-0.0009046893902029819,-0.29292149246638544,0.00020473850494195922,421
2012-02-29,roe,-0.0010479886247642856,-0.4249705321716552,0.00042981506817396653,422
2012-03-31,roe,0.007501728205830888,2.3963498689341676,0.013456575786686353,423
2012-04-30,roe,-0.005168285700256881,-1.4512874876323334,0.00496629192426723,424
2012-05-31,roe,-0.004466547864499068,-1.3977413715867828,0.004597397385793678,425
2012-06-30,roe,0.0027706877630150964,0.7882686965187939,0.0014667993296060278,425
2012-07-31,roe,-0.0027193825451114644,-0.9013321398845929,0.0019168849875677019,425
2012-08-31,roe,-0.005724768078999607,-2.2234922828068377,0.01152579096013362,426
2012-09-30,roe,-0.001163788581140575,-0.31738982709232805,0.00023697042545245406,427
2012-10-31,roe,0.001441024875917365,0.5052007165847453,0.0006001754884468191,427
