strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,realized_stock_return
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-04-30,NVDA,Information Technology,1.19449380930091,100000.0,0.12367109464723036
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-04-30,HD,Consumer Discretionary,1.1858287538909305,100000.0,0.015411828610580658
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-04-30,ON,Information Technology,1.1499152622476225,100000.0,0.14227272727272733
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-04-30,WYNN,Consumer Discretionary,1.130878268087919,100000.0,0.0442797625391933
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-04-30,MPC,Energy,1.0773096728875835,100000.0,0.07027942653290209
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,BA,Industrials,2.2097836749137176,100000.0,-0.0569999156806793
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,MU,Information Technology,1.7334385808716517,100000.0,-0.10831491242962432
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,SPGI,Financials,1.3385371747704737,100000.0,0.020113073497698863
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,IBKR,Financials,1.3064548485257297,100000.0,-0.12367346938660673
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,STX,Information Technology,1.2918844667252303,100000.0,0.008549651368496836
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,RL,Consumer Discretionary,1.2659965586563278,100000.0,-0.07151471136116594
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,LMT,Industrials,1.2477255051283793,100000.0,-0.0678089107661819
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,TPL,Energy,1.2376749510988287,100000.0,-0.020633802818012525
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,LULU,Consumer Discretionary,1.1852363082705852,100000.0,0.0956559894690654
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-05-31,ON,Information Technology,1.1044103899771636,100000.0,-0.12735478806907385
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,TPL,Energy,1.9599810592566131,100000.0,0.06434262375265076
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,BA,Industrials,1.73626524248503,100000.0,0.07744413196655087
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,HD,Consumer Discretionary,1.3513546721830245,100000.0,0.019089877205725303
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,SPGI,Financials,1.1849128055445084,100000.0,-0.010514883743680814
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,CF,Materials,1.1336875047631128,100000.0,0.006571493315915999
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,LULU,Consumer Discretionary,1.1204698196800216,100000.0,-0.04032322585806858
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,VLO,Energy,1.0964050361270867,100000.0,0.07688808007275649
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,STX,Information Technology,1.041814448396416,100000.0,-0.050523276796500705
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,IBKR,Financials,1.013963972432124,100000.0,-0.06293049467348666
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-06-30,TSCO,Consumer Discretionary,1.0097298001395743,100000.0,0.028872775217105184
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,TPL,Energy,1.648065128116476,100000.0,0.09099346405150044
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,BA,Industrials,1.4393223479992328,100000.0,-0.027096576381762882
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,MU,Information Technology,1.359723620731812,100000.0,-0.0026585643753831434
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,ORLY,Consumer Discretionary,1.2649944716284742,100000.0,0.10824026960964162
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,HD,Consumer Discretionary,1.2531072207296987,100000.0,0.02507036746254543
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,VLO,Energy,1.2135266232601902,100000.0,0.01793002242278119
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,CF,Materials,1.104123372934915,100000.0,0.18322063150601653
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,GWW,Industrials,1.0721545479834427,100000.0,0.02710721723997689
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,LULU,Consumer Discretionary,1.0538548958044993,100000.0,0.28914960891995345
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-07-31,SPGI,Financials,1.0462493290775596,100000.0,0.04378666558944744
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,BA,Industrials,1.3039464811885433,100000.0,0.08870023419213591
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,ORLY,Consumer Discretionary,1.2476103439333064,100000.0,0.03516928946262521
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,GWW,Industrials,1.2097151135214272,100000.0,0.006221846847014101
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,HD,Consumer Discretionary,1.1604675324418778,100000.0,0.03218894812862083
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,TPL,Energy,1.0777104080739264,100000.0,0.026857142857018346
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,CF,Materials,1.0085023617238726,100000.0,0.04954694428499895
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,STX,Information Technology,0.8843178308270433,100000.0,-0.06378361039824798
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,SPGI,Financials,0.8621488157249821,100000.0,-0.05827067669185704
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,VLO,Energy,0.8610953041957519,100000.0,-0.03894896924633495
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-08-31,ALGN,Health Care,0.8379376970424188,100000.0,0.01184564452720882
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,TPL,Energy,1.454552433633631,100000.0,-0.12546452362606786
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,ORLY,Consumer Discretionary,1.406670491414761,100000.0,-0.08194515999914131
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,SPGI,Financials,1.2998677028231156,100000.0,-0.07216284987290544
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,LULU,Consumer Discretionary,1.295294461395191,100000.0,-0.140842490842491
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,AMD,Information Technology,1.2926840234018075,100000.0,-0.40664711632453565
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,HD,Consumer Discretionary,1.1158332959726731,100000.0,-0.1565317475543445
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,BA,Industrials,1.0191168809513647,100000.0,-0.05411024629478911
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,KMB,Consumer Staples,0.9975448766076809,100000.0,-0.08307692307706771
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,FTNT,Information Technology,0.9720221903254183,100000.0,-0.11634408602150548
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-09-30,GWW,Industrials,0.9307483541770044,100000.0,-0.20512246326102312
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-10-31,ORLY,Consumer Discretionary,1.818595449993686,100000.0,0.08670991194415723
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-10-31,KMB,Consumer Staples,1.4113316042049409,100000.0,0.10815483623088218
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-10-31,HD,Consumer Discretionary,1.2268748731820407,100000.0,0.02559814949695194
hzz_trend_composite_top10,Paper-inspired improvement: replace index-regression trend with cross-sectional HZZ trend.,2018-10-31,UPS,Industrials,1.0894737185172163,100000.0,0.08750101051421755
