date,ticker,pnl,pnl_comm,bar_len
2012-04-10,F,-5028.331490408706,-5028.331490408706,46
2012-04-10,MGM,-5024.933807640923,-5024.933807640923,4
2012-04-16,AAPL,-5070.0348579780075,-5070.0348579780075,8
2012-04-24,ULTA,-4997.076,-4997.076,14
2012-05-03,DAL,7292.220381804595,7292.220381804595,21
2012-05-03,LULU,23331.839999999993,23331.839999999993,63
2012-05-03,PM,1375.844444535604,1375.844444535604,21
2012-05-07,STX,-4956.77276114623,-4956.77276114623,3
2012-05-08,ISRG,-4957.182931701002,-4957.182931701002,4
2012-05-08,SBUX,-4988.614921077027,-4988.614921077027,4
2012-05-09,MNST,-5005.580327748006,-5005.580327748006,5
2012-05-14,TJX,-4983.030756617707,-4983.030756617707,8
2012-05-16,AAPL,-4983.220520368296,-4983.220520368296,10
2012-05-17,DLTR,-5002.796250000001,-5002.796250000001,11
2012-06-13,TSCO,-4949.507258514365,-4949.507258514365,7
2012-06-28,MNST,-5025.74122425375,-5025.74122425375,18
2012-07-05,TDG,9224.4802513032,9224.4802513032,22
2012-07-05,ULTA,8223.600000000006,8223.600000000006,22
2012-07-10,EXPE,-4989.932360331608,-4989.932360331608,4
2012-07-11,MNST,-4992.306757688252,-4992.306757688252,5
2012-07-26,STX,33347.51889066301,33347.51889066301,37
2012-08-03,AAPL,9291.128119283403,9291.128119283403,43
2012-08-09,MNST,-4976.727773267252,-4976.727773267252,5
2012-08-16,DLTR,-4987.992750000002,-4987.992750000002,52
2012-08-22,MO,-4978.709890534374,-4978.709890534374,14
2012-09-06,ORLY,141.05600000000013,141.05600000000013,24
2012-09-06,TJX,12437.166653741111,12437.166653741111,66
2012-09-13,TPL,-5032.08585528396,-5032.08585528396,6
2012-10-03,AAPL,-1586.6538604224002,-1586.6538604224002,20
2012-10-03,LMT,6164.6564352256,6164.6564352256,43
2012-10-03,ROST,7845.898971763605,7845.898971763605,85
2012-10-10,STX,-4953.214579006954,-4953.214579006954,48
2012-10-10,FFIV,-5037.6250000000055,-5037.6250000000055,6
2012-10-19,MNST,-5024.460808867511,-5024.460808867511,13
2012-11-05,FICO,-1870.3735510599995,-1870.3735510599995,41
2012-11-07,LMT,-5015.869269394677,-5015.869269394677,3
2012-11-07,REGN,-5025.028298728325,-5025.028298728325,3
2012-11-08,TJX,-5043.595608725051,-5043.595608725051,4
2012-11-12,DHI,-5004.236542012227,-5004.236542012227,27
2012-11-14,STX,-5068.788359367609,-5068.788359367609,8
2012-11-15,MO,-5786.431234496291,-5786.431234496291,9
2012-12-05,AAPL,-4961.821679174416,-4961.821679174416,1
2012-12-05,PM,9800.278697367501,9800.278697367501,127
2012-12-13,ROST,-5008.8318403411195,-5008.8318403411195,7
2012-12-13,SWKS,-4988.715235618958,-4988.715235618958,7
2012-12-21,MO,-4987.802773189627,-4987.802773189627,13
2013-01-04,LEN,21770.399922179582,21770.399922179582,82
2013-01-04,LMT,2805.7142174364144,2805.7142174364144,21
2013-01-07,AAPL,-4989.446921231104,-4989.446921231104,2
2013-01-08,REGN,-5007.351526216601,-5007.351526216601,3
2013-01-09,STX,30094.05328788601,30094.05328788601,24
2013-02-05,MCO,-9230.026204454003,-9230.026204454003,1
2013-02-05,BKNG,4901.702588566795,4901.702588566795,22
2013-02-05,IT,10476.759999999998,10476.759999999998,22
2013-02-05,MO,4210.005377587197,4210.005377587197,22
2013-02-20,LEN,-4992.96775180996,-4992.96775180996,11
2013-02-25,F,-4969.193572860127,-4969.193572860127,14
2013-03-05,AIG,15276.617935001505,15276.617935001505,61
2013-03-05,LII,6357.584618396001,6357.584618396001,20
2013-03-28,EXPE,-4955.684795040744,-4955.684795040744,18
2013-04-03,AXON,1198.349999999998,1198.349999999998,21
2013-04-03,LEN,3217.8936623460113,3217.8936623460113,21
2013-04-03,PHM,3532.036722871211,3532.036722871211,21
2013-04-03,REGN,8029.668953015809,8029.668953015809,21
2013-04-03,SHW,17583.417904979196,17583.417904979196,102
2013-04-09,FSLR,30051.408000000014,30051.408000000014,5
2013-05-03,CL,3320.481077990996,3320.481077990996,23
2013-05-03,GILD,12960.861771507303,12960.861771507303,23
2013-05-06,MCO,29721.28963685905,29721.28963685905,44
2013-05-07,FSLR,-5013.3720000000085,-5013.3720000000085,3
2013-06-05,FSLR,-5035.312500000009,-5035.312500000009,1
2013-06-05,AXON,9143.45999999999,9143.45999999999,23
2013-06-05,MO,-908.4699293844099,-908.4699293844099,23
2013-06-05,PHM,-2918.4544714442995,-2918.4544714442995,23
2013-06-05,PPG,5358.596441071998,5358.596441071998,23
2013-06-12,MCO,-4997.194333470083,-4997.194333470083,6
2013-06-12,MOS,-4989.619069993641,-4989.619069993641,6
2013-06-20,FCX,-5048.690815761403,-5048.690815761403,34
2013-06-20,GS,-4994.321715013478,-4994.321715013478,12
2013-07-09,LMT,29758.561556156517,29758.561556156517,107
2013-07-24,STX,-5014.236903504105,-5014.236903504105,15
2013-08-05,C,9676.385780582401,9676.385780582401,23
2013-08-05,GILD,19449.22841157541,19449.22841157541,23
2013-08-05,LDOS,23218.506613948786,23218.506613948786,87
2013-08-05,REGN,18752.13926353321,18752.13926353321,23
2013-08-07,FSLR,-8484.869999999999,-8484.869999999999,25
2013-08-15,F,-4987.912754137097,-4987.912754137097,9
2013-08-28,CL,-4973.841706493559,-4973.841706493559,18
2013-09-05,WYNN,11072.230410405604,11072.230410405604,45
2013-09-30,EA,-5022.1285590147845,-5022.1285590147845,40
2013-10-03,AXON,-5008.990500000004,-5008.990500000004,1
2013-10-03,CHRW,2835.882139410401,2835.882139410401,21
2013-10-03,F,4467.433814067004,4467.433814067004,21
2013-10-03,FSLR,18441.59999999999,18441.59999999999,21
2013-10-03,HUM,648.9326315016024,648.9326315016024,21
2013-10-03,MO,3994.276613814193,3994.276613814193,21
2013-10-08,EA,-4885.761198922511,-4885.761198922511,4
2013-10-24,CNC,-4975.587000000006,-4975.587000000006,16
2013-11-07,FSLR,-5120.700000000002,-5120.700000000002,3
2013-11-13,DECK,29958.20100000001,29958.20100000001,72
2013-11-15,EA,-5006.835386046301,-5006.835386046301,9
2013-12-04,BA,-1157.206214968409,-1157.206214968409,21
2013-12-04,CLX,13284.285608708096,13284.285608708096,128
2013-12-04,HAL,-2924.6318146485037,-2924.6318146485037,21
2013-12-05,BX,-5008.292629398418,-5008.292629398418,2
2013-12-09,MU,30076.504857678603,30076.504857678603,24
2013-12-09,FSLR,-4978.7445000000025,-4978.7445000000025,4
2013-12-11,BIIB,-4986.181500000005,-4986.181500000005,6
2013-12-13,AXON,-4966.788000000002,-4966.788000000002,8
2013-12-31,MCO,29848.130457750598,29848.130457750598,126
2014-01-06,FSLR,-5811.600000000006,-5811.600000000006,1
2014-01-06,LVS,10524.9200922866,10524.9200922866,22
2014-01-07,NFLX,-5016.174983820009,-5016.174983820009,2
2014-01-16,DECK,-5013.514500011909,-5013.514500011909,30
2014-01-24,CMG,-5490.489599999998,-5490.489599999998,14
2014-01-24,MCO,-4990.281110053589,-4990.281110053589,14
2014-01-29,BA,-5010.4413551042035,-5010.4413551042035,17
2014-02-10,TPL,29998.6164834408,29998.6164834408,66
2014-02-12,LMT,29920.758961403524,29920.758961403524,111
2014-02-28,DECK,-5052.5525000132675,-5052.5525000132675,17
2014-03-05,BA,6557.425265120696,6557.425265120696,20
2014-03-05,HPQ,8712.307551659404,8712.307551659404,41
2014-03-05,SMCI,3135.8879999999863,3135.8879999999863,20
2014-03-07,AXON,-5068.548000000011,-5068.548000000011,3
2014-03-12,TPL,-5020.686381005386,-5020.686381005386,6
2014-03-19,FSLR,30337.560000000005,30337.560000000005,30
2014-03-24,SPGI,-5065.418902891768,-5065.418902891768,14
2014-04-03,STZ,12369.4750652832,12369.4750652832,41
2014-04-04,AXON,-5004.382500000009,-5004.382500000009,2
2014-04-07,FSLR,-5009.729999999996,-5009.729999999996,3
2014-04-08,LMT,-5021.7851349940765,-5021.7851349940765,25
2014-04-10,SMCI,-5005.6342,-5005.6342,6
2014-04-10,SPGI,-4992.948009999397,-4992.948009999397,6
2014-04-14,DAL,-5139.455315174684,-5139.455315174684,29
2014-05-05,AXON,-7409.410000000005,-7409.410000000005,1
2014-05-05,DECK,8809.310000000003,8809.310000000003,43
2014-05-07,SMCI,-5017.5860000000075,-5017.5860000000075,3
2014-05-08,GNRC,-5000.424000000003,-5000.424000000003,4
2014-05-13,MU,29359.233720414006,29359.233720414006,89
2014-05-29,TPL,30248.40614865501,30248.40614865501,39
2014-06-04,SWKS,10111.01246074922,10111.01246074922,22
2014-06-09,GNRC,-5014.452500000005,-5014.452500000005,4
2014-07-03,TDG,1903.6410942784119,1903.6410942784119,22
2014-07-03,TTWO,17424.999999999993,17424.999999999993,22
2014-07-08,DAL,-4997.69259767494,-4997.69259767494,45
2014-07-08,SMCI,-5005.873800000011,-5005.873800000011,3
2014-07-08,STZ,-5346.482382824765,-5346.482382824765,3
2014-07-10,GNRC,-6275.200000000002,-6275.200000000002,5
2014-07-25,MCO,30154.59653334931,30154.59653334931,119
2014-08-05,AVGO,10059.984725936603,10059.984725936603,65
2014-08-06,DAL,-5006.848316957762,-5006.848316957762,2
2014-09-02,TPL,29991.895345132496,29991.895345132496,63
2014-09-04,SMCI,-5111.105999999996,-5111.105999999996,1
2014-09-04,CL,937.8666597905019,937.8666597905019,22
2014-09-04,LYB,7527.062334177892,7527.062334177892,22
2014-09-09,TPL,-5069.922298767411,-5069.922298767411,4
2014-09-16,HPQ,-5010.299257505314,-5010.299257505314,9
2014-09-23,DAL,-4823.215851297701,-4823.215851297701,14
2014-10-03,LMT,10727.775650297592,10727.775650297592,107
2014-10-03,LUV,14574.312087195209,14574.312087195209,43
2014-10-06,SMCI,-4971.936900000004,-4971.936900000004,2
2014-10-06,TPL,-4989.701993378607,-4989.701993378607,2
2014-10-07,URI,-5012.247344022667,-5012.247344022667,45
2014-10-08,LYB,-4960.591065651053,-4960.591065651053,4
2014-10-10,DAL,-5061.439907065442,-5061.439907065442,6
2014-10-10,NXPI,-11963.186554483214,-11963.186554483214,6
2014-10-10,SWKS,-6713.179074693008,-6713.179074693008,6
2014-10-13,MU,-4982.277244487135,-4982.277244487135,92
2014-11-05,TPL,-4937.908844639967,-4937.908844639967,1
2014-11-05,DECK,12928.499999999996,12928.499999999996,109
2014-11-13,GILD,-4981.772320933381,-4981.772320933381,7
2014-11-17,MU,-4995.008448808507,-4995.008448808507,9
2014-12-03,CL,3752.801942739897,3752.801942739897,20
2014-12-03,DAL,9200.108422775986,9200.108422775986,20
2014-12-03,EW,10462.516666333191,10462.516666333191,20
2014-12-03,IBM,-464.08233290939734,-464.08233290939734,20
2014-12-03,LMT,455.17116023999733,455.17116023999733,20
2014-12-09,SMCI,-4988.985749999999,-4988.985749999999,5
2014-12-10,TPL,-4950.14045506292,-4950.14045506292,6
2014-12-10,TRGP,-5008.251641898306,-5008.251641898306,6
2014-12-12,LYB,-7692.211207454991,-7692.211207454991,8
2014-12-12,URI,-5038.301727863627,-5038.301727863627,8
2015-01-06,TPL,-4938.549365971937,-4938.549365971937,1
2015-01-06,BLDR,7842.719999999992,7842.719999999992,23
2015-01-06,TTWO,4456.549999999991,4456.549999999991,23
2015-01-16,MAS,-4971.31146251702,-4971.31146251702,9
2015-01-21,IBM,-5079.625114939002,-5079.625114939002,11
2015-01-27,CL,-4991.8334386780025,-4991.8334386780025,15
2015-02-04,MCO,6672.298538326184,6672.298538326184,127
2015-02-04,VZ,2464.878262954797,2464.878262954797,21
2015-02-20,IRM,-5004.550144936546,-5004.550144936546,12
2015-03-04,BLDR,-666.6400000000006,-666.6400000000006,20
2015-03-04,KR,-431.5198619647963,-431.5198619647963,20
2015-03-04,LULU,167.85999999999913,167.85999999999913,20
2015-03-04,LUV,1526.238183046487,1526.238183046487,20
2015-03-17,EA,-4980.433799563638,-4980.433799563638,10
2015-03-18,CL,-4998.985025914231,-4998.985025914231,11
2015-04-06,AAPL,15243.6873754388,15243.6873754388,62
2015-04-06,EW,10677.846666510091,10677.846666510091,62
2015-04-06,IBM,-361.1016671807992,-361.1016671807992,23
2015-04-06,SWKS,3487.416651898798,3487.416651898798,23
2015-04-06,UAL,-8317.760000000004,-8317.760000000004,23
2015-04-16,KR,-4985.725561366001,-4985.725561366001,9
2015-04-30,HD,-4974.991786291745,-4974.991786291745,19
2015-05-05,EA,3788.194629622205,3788.194629622205,22
2015-05-15,WYNN,-5022.08248503185,-5022.08248503185,9
2015-05-26,TPL,-4962.654698148565,-4962.654698148565,15
2015-06-03,AAPL,1319.8895659230081,1319.8895659230081,21
2015-06-03,CNC,17611.659999999996,17611.659999999996,21
2015-06-05,CL,-4996.956899853364,-4996.956899853364,44
2015-07-06,TPL,-5046.1676332293,-5046.1676332293,23
2015-07-06,LII,-4540.439289740792,-4540.439289740792,23
2015-07-06,ULTA,318.0099999999875,318.0099999999875,23
2015-07-13,STX,-5402.015450596814,-5402.015450596814,6
2015-08-05,MCO,7654.5313077797955,7654.5313077797955,86
2015-08-05,VRSK,7031.639468303191,7031.639468303191,23
2015-08-06,AXON,-5079.1935000000085,-5079.1935000000085,2
2015-08-18,TPL,-5106.271502796828,-5106.271502796828,10
2015-08-21,EA,-7664.907231234001,-7664.907231234001,13
2015-08-24,GILD,-5011.328171006362,-5011.328171006362,99
2015-08-24,IT,-4975.197500000006,-4975.197500000006,58
2015-08-24,CL,-6238.047275165993,-6238.047275165993,36
2015-08-24,LII,-4994.275350734994,-4994.275350734994,14
2015-09-28,FIX,-5080.574511205279,-5080.574511205279,17
2015-09-28,GILD,-5094.540940906932,-5094.540940906932,17
