month,intercept,ma_ratio_3,ma_ratio_5,ma_ratio_10,ma_ratio_20,ma_ratio_50,ma_ratio_100,ma_ratio_200,ma_ratio_400,ma_ratio_600,ma_ratio_800,ma_ratio_1000,smoothed_window,smoothed_n_obs
2013-05-31,-0.004961511835592264,0.05143406312089055,0.05271401139399482,-0.19943461313988264,0.07195446682432748,0.024853566653753534,0.00557400830184387,0.03776479128363027,-0.11033253817729743,0.1064431289441019,-0.0709576663445184,0.060932507631779674,12,407.8333333333333
2013-06-30,-0.10916264012774586,0.2123659437683194,0.06721129528320459,-0.2194705551301802,-0.01318223543198549,0.10427595221882535,-0.059878207992585204,0.04403978468810663,-0.07567743014925808,0.07991432220205018,-0.06657625710488627,0.05729969391160806,12,407.8333333333333
2013-07-31,-0.1702702060718759,0.21731770775767856,0.045669911214134905,-0.0918731879994803,-0.04606498261401173,0.08199192496250923,-0.03943556514318975,0.033815214375919896,-0.12065437549044745,0.13748427384001277,-0.0324071286592224,0.007967721859259777,12,407.8333333333333
2013-08-31,-0.053827093523685095,-0.025497663883611615,0.24506870714235077,-0.21245448942592468,0.01149293680902499,0.11974484440509266,-0.10777510775731768,0.048518486611772084,-0.1372606652637284,0.19238311489321722,-0.056777497770002926,-0.0032080866208815673,12,408.0
2013-09-30,-0.06895778827375208,-0.09791433542344229,0.37107772240204867,-0.2131598849192432,-0.039079124687932905,0.1701487631199631,-0.15876863431067165,0.08415104726815971,-0.14879457959316844,0.16049216127467816,0.01460278380553722,-0.05473578098887898,12,408.1666666666667
2013-10-31,0.008697243317331918,-0.11826269924168942,0.25694641955927194,-0.11201294719065118,-0.10013787320568113,0.18049322313260607,-0.14416011531275702,0.097964134939569,-0.163197411165163,0.14112805725978242,0.007711366140323292,-0.03290899093410768,12,408.3333333333333
2013-11-30,-0.00022163154081236008,-0.07731216048297757,0.30404624190991614,-0.2484397368798875,-0.013036255675217961,0.14156847435096898,-0.10708568207776441,0.08588158933563077,-0.16529549761523177,0.07051707247713812,0.08992925224228616,-0.058257951703704715,12,408.5
2013-12-31,0.0020871126087205344,0.09850946362043463,0.04505310131134551,-0.09184215456687424,-0.10112725719183263,0.14413368842599575,-0.0821791170749995,0.06333706977228515,-0.11652215858485832,0.009153336990244204,0.11293226114757725,-0.0613418002191831,12,408.8333333333333
2014-01-31,-0.11820887087946434,0.021418418795993894,0.3246166882373162,-0.21715142568777138,-0.01880748294727196,0.06185059335898881,-0.04044684316353755,0.0636295989153041,-0.10115820805956129,-0.010053356927935122,0.09673125717659309,-0.04314331141256067,12,409.25
2014-02-28,-0.0548131194663865,-0.08201155287247508,0.3644709870300069,-0.25770945068925766,0.06598286922207657,-0.03518664398487177,0.06149977305946755,0.0028442680303753707,-0.0796959231906435,-0.009903025352700457,0.0913538264382942,-0.04631063301330878,12,409.75
2014-03-31,-0.07422369258250336,-0.13025605264021287,0.36924510779173,-0.200710970119788,0.0365356323204603,0.015581799346857071,0.01878889792499585,0.0403041942029335,-0.09971046304887814,0.016769909212467328,0.05263921570493469,-0.027507490867605084,12,410.25
2014-04-30,-0.0972934476870206,-0.17505583767163024,0.5067121385894108,-0.3086131254351785,0.0377495862815638,0.0920036868943007,-0.01309036469668924,0.0078010021056798,-0.06251020260967242,-0.014186314326867453,0.09906621826288405,-0.05701821651828063,12,410.75
2014-05-31,0.024095870728467753,-0.30918765454803127,0.45027193051977416,-0.12196212113733858,-0.09936733850655118,0.11216742026346288,-0.01724831420200436,-0.007105687101870601,0.03657142761858921,-0.1888952172750893,0.25644180612568745,-0.1197862455136286,12,411.3333333333333
2014-06-30,-0.025768539917186712,-0.37087938086597855,0.6073965494275938,-0.18035398637447864,-0.05271334433328784,0.02805784202360551,0.054687888520240126,-0.00885671185020227,-0.008696977310930581,-0.16695092371776807,0.2465655957902583,-0.10259046626526158,12,411.9166666666667
2014-07-31,-0.12371049114256664,-0.20170215147039183,0.5371460899199355,-0.1927302426986627,-0.05167275768834469,0.05069555826543809,0.003919156192972291,0.03300694190243469,-0.023583515743066368,-0.13382963729407094,0.17864571974366902,-0.060672005963629115,12,412.6666666666667
2014-08-31,-0.21034645698519716,0.08139415492598413,0.2629329097745055,-0.05438656680044383,-0.13530790533252776,0.05419283169428487,0.045238389525782,0.026790530481246744,-0.024401190421654284,-0.1612871067837122,0.19393896172618696,-0.05858926438921481,12,413.5
