strategy,signal_month,GICS Sector,sector_count,n_holdings,sector_share
base_equal_top10,2012-07-31,Information Technology,1,10,0.1
base_equal_top10,2012-08-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2012-08-31,Energy,1,10,0.1
base_equal_top10,2012-08-31,Financials,1,10,0.1
base_equal_top10,2012-08-31,Industrials,2,10,0.2
base_equal_top10,2012-08-31,Information Technology,5,10,0.5
base_equal_top10,2012-09-30,Consumer Discretionary,5,10,0.5
base_equal_top10,2012-09-30,Energy,1,10,0.1
base_equal_top10,2012-09-30,Industrials,2,10,0.2
base_equal_top10,2012-09-30,Information Technology,2,10,0.2
base_equal_top10,2012-10-31,Consumer Discretionary,4,10,0.4
base_equal_top10,2012-10-31,Consumer Staples,2,10,0.2
base_equal_top10,2012-10-31,Health Care,1,10,0.1
base_equal_top10,2012-10-31,Industrials,1,10,0.1
base_equal_top10,2012-10-31,Information Technology,1,10,0.1
base_equal_top10,2012-10-31,Materials,1,10,0.1
base_equal_top10,2012-11-30,Consumer Discretionary,2,10,0.2
base_equal_top10,2012-11-30,Consumer Staples,1,10,0.1
base_equal_top10,2012-11-30,Energy,1,10,0.1
base_equal_top10,2012-11-30,Financials,1,10,0.1
base_equal_top10,2012-11-30,Health Care,1,10,0.1
base_equal_top10,2012-11-30,Industrials,1,10,0.1
base_equal_top10,2012-11-30,Information Technology,2,10,0.2
base_equal_top10,2012-11-30,Materials,1,10,0.1
base_equal_top10,2012-12-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2012-12-31,Energy,1,10,0.1
base_equal_top10,2012-12-31,Financials,2,10,0.2
base_equal_top10,2012-12-31,Health Care,1,10,0.1
base_equal_top10,2012-12-31,Industrials,1,10,0.1
base_equal_top10,2012-12-31,Information Technology,1,10,0.1
base_equal_top10,2012-12-31,Materials,1,10,0.1
base_equal_top10,2013-01-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2013-01-31,Financials,1,10,0.1
base_equal_top10,2013-01-31,Industrials,2,10,0.2
base_equal_top10,2013-01-31,Information Technology,2,10,0.2
base_equal_top10,2013-01-31,Materials,1,10,0.1
base_equal_top10,2013-01-31,Real Estate,1,10,0.1
base_equal_top10,2013-02-28,Consumer Discretionary,1,10,0.1
base_equal_top10,2013-02-28,Consumer Staples,3,10,0.3
base_equal_top10,2013-02-28,Energy,1,10,0.1
base_equal_top10,2013-02-28,Financials,1,10,0.1
base_equal_top10,2013-02-28,Health Care,2,10,0.2
base_equal_top10,2013-02-28,Industrials,1,10,0.1
base_equal_top10,2013-02-28,Information Technology,1,10,0.1
base_equal_top10,2013-03-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2013-03-31,Financials,2,10,0.2
base_equal_top10,2013-03-31,Health Care,1,10,0.1
base_equal_top10,2013-03-31,Industrials,3,10,0.3
base_equal_top10,2013-03-31,Materials,1,10,0.1
base_equal_top10,2013-04-30,Consumer Discretionary,2,10,0.2
base_equal_top10,2013-04-30,Consumer Staples,1,10,0.1
base_equal_top10,2013-04-30,Financials,2,10,0.2
base_equal_top10,2013-04-30,Industrials,1,10,0.1
base_equal_top10,2013-04-30,Information Technology,3,10,0.3
base_equal_top10,2013-04-30,Materials,1,10,0.1
