month,value,cash,return
2015-08-31,2044943.6079661266,1047230.1348766859,-0.026672457236720737
2015-09-30,2038934.678066092,1013675.6455701082,-0.0029384330583135387
2015-10-31,2137343.846043714,1006378.0407433875,0.048264993006525314
2015-11-30,2164461.076775772,1043191.0316466482,0.012687350602128333
2015-12-31,2140688.1986947833,1067888.759916577,-0.01098327816381961
2016-01-31,2116426.4758250224,1085591.8102753728,-0.011333608922847183
2016-02-29,2136017.8217015592,1055476.865845835,0.009256804382443695
2016-03-31,2192103.5897820625,1061142.4547232992,0.026257162983698734
2016-04-30,2165709.1122353864,1070177.901617309,-0.012040707231951608
2016-05-31,2221078.064948579,1070237.8834306477,0.025566200188372523
2016-06-30,2270730.5121362833,1113682.922295209,0.022355111227868596
2016-07-31,2281232.067309399,1123084.2898369865,0.004624747462100176
2016-08-31,2298196.023667342,1137949.6180888852,0.0074363132979937685
2016-09-30,2308332.290027667,1166814.645528804,0.004410531676122931
2016-10-31,2266804.580972523,1215134.030937271,-0.01799035140414995
2016-11-30,2303209.9968230315,1208833.2107695462,0.01606023569746351
2016-12-31,2313008.477005529,1232560.237377768,0.004254271297890133
2017-01-31,2353583.5409319606,1238304.8131981527,0.0175421163950773
2017-02-28,2392167.301356311,1276406.5597134419,0.016393622641103445
2017-03-31,2394430.180894084,1325512.477422558,0.0009459537117197936
2017-04-30,2403433.9989550263,1319796.7953893098,0.0037603176458378407
2017-05-31,2445036.984351954,1318187.4704581087,0.01730980980339636
2017-06-30,2460008.6463793684,1356460.5450252753,0.006123286528274097
2017-07-31,2471966.550124782,1353817.2888247382,0.004860919396772578
2017-08-31,2515816.730372009,1366245.4419415072,0.017738986089845366
2017-09-30,2550611.3247117614,1371937.0449303624,0.01383033744855
2017-10-31,2560674.4078241736,1372070.0721414948,0.003945361261010305
2017-11-30,2633667.0494306292,1425394.6238895522,0.028505241190924346
2017-12-31,2619042.893611186,1464365.2956134486,-0.005552773203660877
2018-01-31,2703613.8078785446,1453389.1588246347,0.03229077098113131
2018-02-28,2683113.775417558,1446695.5257151776,-0.007582455897084062
2018-03-31,2656917.009207357,1474410.6827073907,-0.009763568899020636
2018-04-30,2642472.513736004,1553896.067434827,-0.005436562535185208
2018-05-31,2753615.3826643913,1554203.3536486737,0.04206017975613685
2018-06-30,2715259.681846493,1598634.1722944102,-0.013929215045561438
2018-07-31,2720051.521153899,1577772.4954963499,0.001764781224957268
2018-08-31,2811104.1380178845,1558887.6356991911,0.03347459272586106
2018-09-30,2820748.0782282073,1609467.457228523,0.003430659177615203
2018-10-31,2663723.9191457955,1628533.4688604835,-0.0556675586502724
2018-11-30,2706011.5707110018,1731067.112959033,0.015875388309298577
2018-12-31,2636264.739156794,1717011.0867758787,-0.025774772107083788
2019-01-31,2658915.573900129,1668593.1747674285,0.008592018247219002
2019-02-28,2705320.5765347444,1657180.9197440017,0.017452604772459024
2019-03-31,2744274.6043901904,1660443.6315876702,0.014399043201505757
2019-04-30,2786789.832033962,1677700.1691370062,0.015492337237591691
2019-05-31,2729713.847451466,1706247.5705815621,-0.02048090743206077
2019-06-30,2821792.585992665,1664965.7657080258,0.033732011370776416
2019-07-31,2847021.8966542473,1749717.8631901115,0.008940880625606606
2019-08-31,2854243.946583575,1774520.3160625664,0.002536703331230017
2019-09-30,2830865.1873953594,1826651.4487182007,-0.008190876332136665
2019-10-31,2854273.271772109,1799790.33386295,0.008268879945599661
2019-11-30,2875278.0448941076,1798507.339091285,0.0073590617022305516
2019-12-31,2911722.980884972,1803638.6730319331,0.012675273633304007
2020-01-31,2943964.312440762,1827797.9653846978,0.011072939207283472
2020-02-29,2857127.150879778,1840754.1994420022,-0.02949667602763484
2020-03-31,2754557.1163124125,1834307.1439830642,-0.035899709446176264
2020-04-30,2884285.1964939884,1781681.9310480412,0.047095803319281204
2020-05-31,2991999.2873342526,1808530.7386712697,0.0373451595463572
2020-06-30,2995031.2223284463,1861404.2924798375,0.0010133474987874536
2020-07-31,3101329.8751536096,1863363.9396764426,0.03549166767701428
2020-08-31,3188232.161741114,1927451.280589375,0.028020974899743756
2020-09-30,3164267.5537430085,2116107.6920594787,-0.007516581849239756
2020-10-31,3166559.6565315602,2098913.335794398,0.0007243707270709887
2020-11-30,3225968.008569856,2064969.9601493163,0.018761166212597935
2020-12-31,3284125.195802239,2116202.7092395164,0.018027825160660926
2021-01-31,3271550.00427654,2135850.2022503973,-0.0038290840866153086
2021-02-28,3296501.5589047493,2159809.5483957194,0.0076268296665473745
2021-03-31,3329858.957471203,2162280.0424278164,0.010119030120385064
2021-04-30,3402761.8714419855,2263105.804557147,0.021893694268104058
2021-05-31,3382504.8673036247,2329138.0477922377,-0.005953106595077862
2021-06-30,3380550.3135544034,2329178.083008503,-0.0005778421098856512
2021-07-31,3398204.1203840664,2369751.7617318206,0.0052221695263281465
2021-08-31,3415659.3069987865,2358409.461388256,0.005136591563177584
2021-09-30,3344237.354129114,2368506.679275183,-0.02091015129153151
2021-10-31,3429943.940745609,2317878.3695959128,0.025628141050058284
2021-11-30,3421781.708643658,2343535.6877764245,-0.002379698398270791
2021-12-31,3443513.1355762873,2337395.968515019,0.006350909784143877
2022-01-31,3392871.1834728024,2332807.5122992136,-0.014706478561177239
2022-02-28,3368582.6616588975,2326734.1037624343,-0.0071586925941126145
2022-03-31,3361607.315733702,2345245.1879374175,-0.0020707064738498815
2022-04-30,3319875.82275039,2320480.786455958,-0.012414148668701275
2022-05-31,3413124.8708624477,2304927.5398915373,0.028088113258044833
2022-06-30,3255849.8189727976,2337049.6831531827,-0.04607948957047947
2022-07-31,3322171.5469581834,2280626.1717587393,0.0203700206314521
2022-08-31,3366361.843432599,2292390.463703544,0.013301629927833458
2022-09-30,3275537.94898418,2340957.9852545923,-0.026979837187023237
2022-10-31,3409215.609241804,2310398.7663284354,0.04081090261802056
2022-11-30,3477864.9859213717,2362012.4008534853,0.020136413928608876
2022-12-31,3404765.9576559933,2374464.2350165094,-0.02101836286379377
2023-01-31,3416082.2897203285,2331115.23309059,0.003323673992595255
2023-02-28,3404017.5462275967,2383636.3945673807,-0.0035317484971123525
2023-03-31,3384680.0559662003,2382108.859762392,-0.005680784543201534
2023-04-30,3364898.0515544284,2368140.369888065,-0.005844571446835034
2023-05-31,3351431.0163647784,2335872.7896099663,-0.004002211949164058
2023-06-30,3433989.0432923725,2336289.274726728,0.024633664403196587
2023-07-31,3514059.414377176,2349744.2110530487,0.02331701414167453
2023-08-31,3532346.445336515,2388650.4302626653,0.005203961801135248
2023-09-30,3476210.83059799,2449778.263468496,-0.015891876860673282
2023-10-31,3426755.0169932046,2456696.5872741803,-0.01422693156855448
2023-11-30,3546261.0759197166,2437335.2357425904,0.03487440985243584
2023-12-31,3609059.0525194346,2484892.8621905264,0.017708221491682385
2024-01-31,3684004.950794547,2511872.3647569283,0.020766049317700652
2024-02-29,3866570.084635772,2536824.9083383996,0.049556158658758065
2024-03-31,3972618.969403497,2641495.148984387,0.02742712079347065
2024-04-30,3933258.937847018,2809964.412800253,-0.009907829535030666
2024-05-31,4045335.2609028285,2805262.680991514,0.028494519386297767
2024-06-30,4083131.33100205,2830113.1935542705,0.009343124280578596
2024-07-31,4092444.912131871,2853720.449118423,0.002280989851858539
2024-08-31,4099573.242063166,2892678.977712948,0.0017418267281164024
2024-09-30,4209674.193499114,2903985.9454809367,0.02685668603411462
2024-10-31,4229962.783279577,2974323.5148417684,0.004819515441787381
2024-11-30,4423817.897957771,2922955.5758759226,0.04582903552827333
2024-12-31,4294905.241024351,2981522.0139902513,-0.029140588493240638
2025-01-31,4330663.262221526,2991858.824309593,0.008325683383097582
2025-02-28,4241556.299735522,3156038.7815871597,-0.02057582339946118
2025-03-31,4209657.544398304,3216854.532153486,-0.007520530928519564
2025-04-30,4197230.167353457,3217348.608817254,-0.0029521111667109023
2025-05-31,4239702.057181253,3181226.612939688,0.010119028057633761
2025-06-30,4264181.821664333,3146046.4619192327,0.005773935090937821
2025-07-31,4291485.708968763,3149915.8587381262,0.0064030776468562145
2025-08-31,4335030.716151239,3180554.3195011294,0.010146837280961218
2025-09-30,4408800.943923505,3169837.362737191,0.017017233003082666
2025-10-31,4396258.410703565,3235629.5970841823,-0.00284488535079519
2025-11-30,4442552.468516186,3215950.3486982523,0.010530331360847356
2025-12-31,4453453.186337677,3294884.839536331,0.0024537060392066934
2026-01-31,4556830.59185271,3248575.249329794,0.02321286453221849
2026-02-28,4684345.920660998,3274955.2697756942,0.027983337593518787
2026-03-31,4565155.444232333,3339559.193579188,-0.02544442243322742
2026-04-30,4799275.753853051,3449563.222222697,0.05128419228670689
2026-05-31,5071503.873635607,3455873.563635607,0.056722750211633644
