month,ticker,size,price,market_value
2020-01-31,HLT,1054,106.2090010433,111944.28709963821
2020-01-31,IDXX,345,271.01,93498.45
2020-01-31,LMT,332,359.3075007495,119290.09024883399
2020-01-31,LRCX,3669,27.7943652893,101977.5262464417
2020-01-31,MCO,588,242.5085408251,142595.0220051588
2020-01-31,ORLY,4318,27.0733333333,116902.6533331894
2020-01-31,SPGI,432,278.1775807796,120172.7148967872
2020-01-31,STX,2088,45.8580649137,95751.63953980559
2020-01-31,TER,1639,64.2879786514,105367.99700964459
2020-02-29,BLDR,3935,22.71,89363.85
2020-02-29,CDW,833,105.3924965342,87791.94961298861
2020-02-29,HLT,1054,95.9153433073,101094.77184589421
2020-02-29,IDXX,345,254.51,87805.95
2020-02-29,LMT,332,312.4343719144,103728.2114755808
2020-02-29,MCO,588,227.1574100898,133568.5571328024
2020-02-29,ORLY,4318,24.5813333333,106142.19733318941
2020-02-29,QCOM,1346,68.1464250937,91725.0881761202
2020-02-29,SPGI,432,252.4275816619,109048.7152779408
2020-02-29,TGT,1080,86.5821835113,93508.758192204
2020-03-31,AAPL,1515,61.3933654318,93010.948629177
2020-03-31,GNRC,970,93.17,90374.90000000001
2020-03-31,HSY,806,114.0323064876,91910.0390290056
2020-03-31,HWM,4508,12.1379731028,54717.9827474224
2020-03-31,LDOS,1057,84.7385169368,89568.6124021976
2020-03-31,LLY,850,129.3028855763,109907.45273985501
2020-03-31,LMT,332,286.3158146386,95056.8504600152
2020-03-31,MCO,588,200.1574479606,117692.5794008328
2020-03-31,SPGI,432,232.625244956,100494.105820992
2020-04-30,AAPL,1515,70.9322850441,107462.4118418115
2020-04-30,CCL,7674,15.7305576016,120716.29903467839
2020-04-30,CPB,2712,40.2129144641,109057.4240266392
2020-04-30,GNRC,970,97.44,94516.8
2020-04-30,LLY,850,144.142144071,122520.82246035
2020-04-30,LMT,332,328.6444338201,109109.9520282732
2020-04-30,MCO,588,230.8198655205,135722.080926054
2020-04-30,MGM,8481,16.8161605603,142617.85771190427
2020-04-30,OKE,6958,20.3871661682,141853.9021983356
2020-04-30,SPGI,432,278.0301234144,120109.0133150208
2020-05-31,AAPL,1515,76.9633762284,116599.51498602598
2020-05-31,EBAY,2782,41.2323446482,114708.3828112924
2020-05-31,GEN,5367,19.9530359036,107087.9436946212
2020-05-31,IDXX,360,308.88,111196.8
2020-05-31,LLY,850,143.2329872323,121748.039147455
2020-05-31,LMT,332,330.1480247628,109609.1442212496
2020-05-31,ORLY,3882,27.816,107981.712
2020-05-31,REGN,191,607.8845657702,116105.95206210819
2020-05-31,SPGI,432,309.2023807412,133575.4284801984
2020-05-31,WAT,534,199.85,106719.9
2020-06-30,DVA,1235,79.14,97737.9
2020-06-30,EBAY,2782,47.488723689,132113.62930279798
2020-06-30,FTNT,3591,27.454,98587.314
2020-06-30,GEN,5367,17.4718294845,93771.30884331149
2020-06-30,LLY,850,153.7495380438,130687.10733722999
2020-06-30,LOW,855,121.2390080715,103659.3519011325
2020-06-30,MCO,394,260.5698819343,102664.53348211419
2020-06-30,NVDA,11310,9.4654759111,107054.532554541
2020-06-30,REGN,191,618.6374397327,118159.75098894571
2020-06-30,SPGI,432,313.4453276925,135408.38156316
2020-07-31,AMD,1900,77.43,147117.0
2020-07-31,BIIB,373,274.69,102459.37
2020-07-31,GEN,5367,18.8991801534,101431.8998832978
2020-07-31,LLY,850,140.7419787587,119630.68194489498
2020-07-31,LMT,322,322.0991580279,103715.92888498379
2020-07-31,LOW,855,134.1191551678,114671.877668469
2020-07-31,MCO,394,266.8012513673,105119.6930387162
2020-07-31,ORLY,3557,31.8253333333,113202.71066654811
2020-07-31,SPGI,432,333.2045223512,143944.3536557184
2020-07-31,WAT,554,213.15,118085.1
2020-08-31,AAPL,971,125.176790435,121546.663512385
2020-08-31,EBAY,1997,49.7431931263,99337.15667322109
2020-08-31,GNRC,634,189.98,120447.31999999999
2020-08-31,IDXX,251,391.06,98156.06
2020-08-31,LLY,850,139.6461403241,118699.219275485
2020-08-31,META,397,290.9391950638,115502.8604403286
2020-08-31,NEM,1716,56.6502866443,97211.89188161881
2020-08-31,NTAP,2598,41.1630069743,106941.4921192314
2020-08-31,REGN,159,614.947339074,97776.62691276599
2020-08-31,STX,2672,39.7148979066,106118.2072064352
2020-09-30,AAPL,971,112.3428712049,109084.92793995791
2020-09-30,AMD,1101,81.99,90270.98999999999
2020-09-30,EBAY,1997,47.3096086506,94477.28847524819
2020-09-30,GNRC,634,193.64,122767.76
2020-09-30,IDXX,251,393.11,98670.61
2020-09-30,LOW,674,149.3855555445,100685.864436993
2020-09-30,NVDA,7502,13.4884249332,101190.16384886639
2020-09-30,ORLY,3221,30.7386666667,99009.24533344069
2020-09-30,REGN,159,555.2807921327,88289.6459490993
2020-09-30,WST,357,270.9025783195,96712.2204600615
2020-10-31,ALGN,305,426.08,129954.4
2020-10-31,CLX,573,171.9416114187,98522.5433429151
2020-10-31,HUM,254,378.8874276451,96237.40662185539
2020-10-31,LLY,717,122.7726630277,88027.9993908609
2020-10-31,LOW,674,142.8787903863,96300.30472036621
2020-10-31,MCO,363,249.8453304215,90693.8549430045
2020-10-31,NRG,3823,27.1602069573,103833.4711977579
2020-10-31,NVDA,7502,12.4950236956,93737.6677643912
2020-10-31,ORLY,3221,29.1066666667,93752.5733334407
2020-10-31,SPGI,290,307.5976235358,89203.310825382
2020-11-30,CL,1442,75.2376775132,108492.73097403439
2020-11-30,FIX,2242,49.1708715495,110241.094013979
2020-11-30,KMB,923,113.7449549307,104986.59340103611
2020-11-30,LOW,674,140.8182992915,94911.53372247101
2020-11-30,NEM,1883,49.7085305398,93601.1630064434
2020-11-30,NRG,3823,28.1308278891,107544.1550200293
2020-11-30,NTAP,2596,46.7855938211,121455.4015595756
2020-11-30,ORLY,3221,29.496,95006.616
2020-11-30,SPGI,290,335.9576641334,97427.722598686
2020-11-30,UPS,811,135.0387918188,109516.46016504681
2020-12-31,CL,1442,75.1234680541,108328.0409340122
2020-12-31,EBAY,2176,45.7744789654,99605.2662287104
2020-12-31,GEN,6149,18.5361257313,113978.6371217637
2020-12-31,IDXX,216,499.87,107971.92
2020-12-31,LOW,674,145.0567656224,97768.2600294976
2020-12-31,MTD,86,1139.68,98012.48000000001
2020-12-31,NTAP,2596,58.1331407749,150913.6334516404
2020-12-31,ORLY,3221,30.1713333333,97181.86466655931
2020-12-31,QCOM,764,135.919475139,103842.47900619601
2020-12-31,SPGI,290,313.944405397,91043.87756513001
2021-01-31,ALGN,187,525.38,98246.06
2021-01-31,CL,1442,68.9112912276,99370.08195019921
2021-01-31,COHR,1316,84.07,110636.12
2021-01-31,GNRC,439,246.42,108178.37999999999
2021-01-31,IDXX,216,478.68,103394.88
2021-01-31,NTAP,2596,58.7376665856,152482.9824562176
2021-01-31,ORLY,3221,28.3646666667,91362.5913334407
2021-01-31,PYPL,429,233.0675888125,99985.9956005625
2021-01-31,ROL,2742,33.6126960186,92166.01248300119
2021-01-31,TTD,1248,76.599,95595.55200000001
2021-02-28,ABBV,1192,88.1636328656,105091.0503757952
2021-02-28,EBAY,1942,51.5589156108,100127.4141161736
2021-02-28,FCX,3964,31.7836648,125990.4472672
2021-02-28,GNRC,439,329.56,144676.84
2021-02-28,IDXX,216,520.17,112356.71999999999
2021-02-28,MTD,85,1116.05,94864.25
2021-02-28,NRG,2789,31.6066327027,88150.8986078303
2021-02-28,ORLY,3221,29.822,96056.662
2021-02-28,QCOM,717,121.5102620401,87122.8578827517
2021-02-28,SPGI,330,315.290889012,104045.99337396
2021-03-31,ALGN,176,541.53,95309.28
2021-03-31,EBAY,1942,55.9636297768,108681.3690265456
2021-03-31,FCX,3964,30.86511595,122349.3196258
2021-03-31,GNRC,439,327.45,143750.55
2021-03-31,LOW,690,172.4741627091,119007.172269279
2021-03-31,NTAP,1806,64.2454279166,116027.24281737959
2021-03-31,ON,2483,41.61,103317.63
2021-03-31,PYPL,386,241.5523591278,93239.2106233308
2021-03-31,TTD,1241,65.166,80871.006
2021-03-31,WBD,1885,43.46,81922.1
2021-04-30,ADSK,360,291.91,105087.6
2021-04-30,BLDR,2156,48.67,104932.52
2021-04-30,GNRC,439,323.95,142214.05
2021-04-30,HD,370,286.3298951096,105942.06119055199
2021-04-30,KMB,866,110.6711545451,95841.2198360566
2021-04-30,SPGI,296,373.7139001742,110619.31445156319
2021-04-30,TPL,602,160.9171918003,96872.1494637806
2021-04-30,TPR,2754,42.1585025956,116104.51614828239
2021-04-30,TTD,1241,72.931,90507.371
2021-04-30,XYZ,440,244.82,107720.8
2021-05-31,ADSK,360,285.86,102909.6
2021-05-31,CL,1394,74.4273360709,103751.70648283459
2021-05-31,FTNT,2448,43.708,106997.184
2021-05-31,GNRC,439,328.72,144308.08000000002
2021-05-31,HD,370,282.1190312646,104384.041567902
2021-05-31,KMB,866,108.4381407008,93907.4298468928
2021-05-31,LOW,560,177.2140782775,99239.88383539999
2021-05-31,MAS,1724,54.965977757,94761.345653068
2021-05-31,ORLY,2713,35.6746666667,96785.3706667571
2021-05-31,SPGI,296,363.9991861344,107743.7590957824
2021-06-30,ADSK,360,291.9,105083.99999999999
2021-06-30,CL,1394,72.2686057457,100742.4364095058
2021-06-30,HD,370,283.5873622755,104927.324041935
2021-06-30,KMB,866,112.0298633785,97017.861685781
2021-06-30,MAS,1724,53.6900306693,92561.61287387321
2021-06-30,MOS,3125,28.3065704064,88458.03252
2021-06-30,NUE,1052,89.2833754135,93926.110935002
2021-06-30,ORLY,2713,37.7473333333,102408.51533324289
2021-06-30,SPGI,296,393.7161460692,116539.97923648321
2021-06-30,WAT,310,345.61,107139.1
2021-07-31,CL,1394,71.0094707434,98987.2022162996
2021-07-31,DVN,4292,20.6234028604,88515.6450768368
2021-07-31,HD,370,291.8578081006,107987.38899722199
2021-07-31,KMB,866,113.654455507,98424.758469062
2021-07-31,MAS,1724,54.4191432908,93818.6030333392
2021-07-31,MOS,3125,27.7033592539,86572.9976684375
2021-07-31,ORLY,2713,40.256,109214.528
2021-07-31,STLD,1804,59.919998686,108095.67762954399
2021-07-31,TPR,2610,37.2686449278,97271.16326155799
2021-07-31,WAT,310,389.81,120841.1
2021-08-31,CL,1394,69.6250093641,97057.26305355539
2021-08-31,GNRC,238,436.98,104001.24
2021-08-31,HD,370,290.0703246481,107326.02011979699
2021-08-31,IVZ,5155,20.2798190326,104542.46711305299
2021-08-31,KLAC,302,324.326767353,97946.683740606
2021-08-31,LOW,568,186.2192303956,105772.52286470079
2021-08-31,MAS,1724,55.5487286391,95766.0081738084
2021-08-31,ORLY,2713,39.6053333333,107449.2693332429
2021-08-31,TPR,2610,35.5241551652,92718.044981172
2021-08-31,WAT,310,414.02,128346.2
2021-09-30,ADSK,322,285.17,91824.74
2021-09-30,CL,1394,67.5081232551,94106.3238176094
2021-09-30,HD,370,293.4083423454,108561.086667798
2021-09-30,KMB,866,111.8252463973,96840.6633800618
2021-09-30,LOW,568,185.2784985927,105238.1872006536
2021-09-30,MAS,1724,50.8190361644,87612.0183474256
2021-09-30,ORLY,2713,40.7373333333,110520.3853332429
2021-09-30,STX,1324,71.7241331244,94962.7522567056
2021-09-30,TPR,2610,32.8176623202,85654.098655722
2021-09-30,WAT,310,357.3,110763.0
2021-10-31,AMAT,808,131.233473769,106036.646805352
2021-10-31,BX,1013,118.3342784522,119872.6240720786
2021-10-31,COR,887,115.0408450022,102041.2295169514
2021-10-31,HD,370,332.2720318756,122940.651793972
2021-10-31,IT,329,331.91,109198.39000000001
2021-10-31,LOW,568,214.3216794109,121734.7139053912
2021-10-31,MAS,1724,59.9673775081,103383.7588239644
2021-10-31,MTD,72,1480.88,106623.36000000002
2021-10-31,ORLY,2713,41.488,112556.944
2021-10-31,WAT,310,367.55,113940.5
2021-11-30,CL,1460,67.4094429917,98417.786767882
2021-11-30,COF,720,129.6750128774,93366.009271728
2021-11-30,COR,887,109.5299760801,97153.0887830487
2021-11-30,DVN,3072,34.1548887377,104923.8182022144
2021-11-30,EBAY,1418,62.1403834297,88115.0637033146
2021-11-30,HD,370,358.0768781667,132488.444921679
2021-11-30,LOW,568,224.1935658503,127341.94540297039
2021-11-30,NTAP,1243,80.009155496,99451.380281528
2021-11-30,ORLY,2713,42.544,115421.87199999999
2021-11-30,WAT,310,328.07,101701.7
2021-12-31,ADSK,393,281.19,110507.67
2021-12-31,APA,4471,23.3364676007,104337.34664272971
2021-12-31,CL,1460,76.6825095296,111956.463913216
2021-12-31,EOG,1439,72.6131768894,104490.3615438466
2021-12-31,HD,370,372.4765728815,137816.331966155
2021-12-31,LOW,568,236.9252745451,134573.5559416168
2021-12-31,ORCL,1171,82.0744553853,96109.1872561863
2021-12-31,ORLY,2713,47.082,127733.466
2021-12-31,SPG,835,126.4349143724,105573.153500954
2021-12-31,STX,1120,98.8285006367,110687.920713104
2022-01-31,BX,904,112.8202190965,101989.47806323599
2022-01-31,F,6138,16.0037063738,98230.7497223844
2022-01-31,FANG,1135,102.98832242,116891.7459467
2022-01-31,HD,370,329.3690578927,121866.55142029902
2022-01-31,KKR,1394,68.5136550287,95508.0351100078
2022-01-31,LOW,568,218.287339113,123987.208616184
2022-01-31,MCK,411,250.981273139,103153.303260129
2022-01-31,NUE,933,95.1735507144,88796.9228165352
2022-01-31,ORCL,1171,76.663810537,89773.322138827
2022-01-31,ORLY,2713,43.45,117879.85
2022-02-28,AMD,875,123.34,107922.5
2022-02-28,BLDR,1470,74.42,109397.40000000001
2022-02-28,HD,370,283.4613045786,104880.682694082
2022-02-28,IT,340,280.42,95342.8
2022-02-28,LOW,568,203.3056633003,115477.61675457041
2022-02-28,MCK,411,269.2730292173,110671.2150083103
2022-02-28,NUE,933,123.5378968938,115260.8578019154
2022-02-28,NVDA,4091,24.3372477662,99563.6806115242
2022-02-28,ORCL,1171,71.7613317705,84032.51950325549
2022-02-28,ORLY,2713,43.2826666667,117425.87466675711
2022-03-31,CL,1438,68.5037316499,98508.3661125562
2022-03-31,COR,730,148.511696756,108413.53863188
2022-03-31,EOG,1056,99.0275371241,104573.0792030496
2022-03-31,HD,370,270.2615557699,99996.77563486299
2022-03-31,KMB,902,105.8028553351,95434.1755122602
2022-03-31,LOW,568,185.9511990531,105620.2810621608
2022-03-31,MO,2729,37.9565723205,103583.4858626445
2022-03-31,ORCL,1171,78.1468339788,91509.94258917481
2022-03-31,ORLY,2713,45.664,123886.432
2022-03-31,STX,1108,79.2360173206,87793.5071912248
2022-04-30,ADM,1255,79.0506114752,99208.517401376
2022-04-30,CF,1061,88.4989203203,93897.3544598383
2022-04-30,COP,1166,81.8983606569,95493.4885259454
2022-04-30,COR,730,145.2287156758,106016.962443334
2022-04-30,DVN,2007,48.9961686097,98335.3103996679
2022-04-30,FANG,889,103.5064503768,92017.2343849752
2022-04-30,MOS,1683,55.7420052202,93813.7947855966
2022-04-30,NUE,714,145.7617307697,104073.8757695658
2022-04-30,ORLY,2713,40.4366666667,109704.67666675709
2022-04-30,STLD,1273,80.7342525442,102774.70348876661
2022-05-31,BLDR,1624,65.09,105706.16
2022-05-31,CF,1061,90.6196742353,96147.4743636533
2022-05-31,COP,1166,96.7569378458,112818.58952820279
2022-05-31,COR,730,149.0355496908,108795.951274284
2022-05-31,FFIV,597,163.04,97334.87999999999
2022-05-31,HD,368,273.3494337666,100592.5916261088
2022-05-31,KMB,838,114.2732690539,95760.99946716819
2022-05-31,MTD,78,1286.12,100317.35999999999
2022-05-31,ORLY,2713,42.478,115242.814
2022-05-31,STX,1382,74.6264025198,103133.6882823636
2022-06-30,ABBV,785,132.3402310812,103887.081398742
2022-06-30,BG,945,81.0474541233,76589.8441465185
2022-06-30,CF,1061,78.6557119793,83453.7104100373
2022-06-30,CL,1396,72.8146760887,101649.2878198252
2022-06-30,COR,730,136.2203602963,99440.86301629899
2022-06-30,HSY,524,193.7908669246,101546.4142684904
2022-06-30,KMB,838,117.1597265057,98179.85081177659
2022-06-30,MOS,1787,42.2849015153,75563.1190078411
