strategy,month,portfolio_return,pnl,equity,prev_equity,n_positions,regime_on
trend_heavy_top10_regime,2023-03-31,0.008733388352173176,20453.753696825104,2362471.865342517,2342018.111645692,10,True
trend_heavy_top10_regime,2023-04-30,0.04979859599967334,117647.78198278668,2480119.6473253034,2362471.865342517,10,True
trend_heavy_top10_regime,2023-05-31,0.032874723944222,81533.24875446057,2561652.896079764,2480119.6473253034,10,True
trend_heavy_top10_regime,2023-06-30,0.003302592846434062,8460.096529640126,2570112.992609404,2561652.896079764,10,True
trend_heavy_top10_regime,2023-07-31,0.0027608515837506506,7095.700526063797,2577208.693135468,2570112.992609404,10,True
trend_heavy_top10_regime,2023-08-31,-0.011799190762727868,-30408.977005665973,2546799.7161298017,2577208.693135468,10,True
trend_heavy_top10_regime,2023-09-30,-0.012122575592081701,-30873.77207667574,2515925.944053126,2546799.7161298017,10,True
trend_heavy_top10_regime,2023-10-31,0.0,0.0,2515925.944053126,2515925.944053126,0,False
trend_heavy_top10_regime,2023-11-30,0.03506252439535673,88214.71479027365,2604140.6588433995,2515925.944053126,10,True
trend_heavy_top10_regime,2023-12-31,0.0673362069867628,175352.954426524,2779493.6132699233,2604140.6588433995,10,True
trend_heavy_top10_regime,2024-01-31,0.02873419073978164,79866.49964370283,2859360.1129136262,2779493.6132699233,10,True
trend_heavy_top10_regime,2024-02-29,0.01715283678884318,49046.13733733564,2908406.250250962,2859360.1129136262,10,True
trend_heavy_top10_regime,2024-03-31,-0.011595048696586263,-33723.11210111576,2874683.1381498463,2908406.250250962,10,True
trend_heavy_top10_regime,2024-04-30,0.01903991807596182,54733.73144472191,2929416.8695945684,2874683.1381498463,10,True
trend_heavy_top10_regime,2024-05-31,-0.0018312265409080196,-5364.425920985261,2924052.443673583,2929416.8695945684,10,True
trend_heavy_top10_regime,2024-06-30,0.005382165314772982,15737.73364091714,2939790.1773145003,2924052.443673583,10,True
trend_heavy_top10_regime,2024-07-31,-0.007533607110238759,-22147.224182426584,2917642.953132074,2939790.1773145003,10,True
trend_heavy_top10_regime,2024-08-31,0.030498156654964064,88982.73184787396,3006625.6849799477,2917642.953132074,10,True
trend_heavy_top10_regime,2024-09-30,-0.0007924860290127744,-2382.7088498175717,3004242.9761301302,3006625.6849799477,10,True
trend_heavy_top10_regime,2024-10-31,0.03756282637873892,112847.85731192198,3117090.8334420524,3004242.9761301302,10,True
trend_heavy_top10_regime,2024-11-30,-0.027719446005948247,-86404.0310532332,3030686.802388819,3117090.8334420524,10,True
trend_heavy_top10_regime,2024-12-31,0.026797763971400757,81215.62960165486,3111902.431990474,3030686.802388819,10,True
trend_heavy_top10_regime,2025-01-31,0.0023442271721860475,7295.006238263913,3119197.438228738,3111902.431990474,10,True
trend_heavy_top10_regime,2025-02-28,-0.01930664781171169,-60221.24639507558,3058976.1918336623,3119197.438228738,10,True
trend_heavy_top10_regime,2025-03-31,0.0,0.0,3058976.1918336623,3058976.1918336623,0,False
trend_heavy_top10_regime,2025-04-30,0.0,0.0,3058976.1918336623,3058976.1918336623,0,False
trend_heavy_top10_regime,2025-05-31,0.004998058020491658,15288.940490087267,3074265.13232375,3058976.1918336623,10,True
trend_heavy_top10_regime,2025-06-30,-0.0012166653346822427,-3740.351816120624,3070524.7805076293,3074265.13232375,10,True
trend_heavy_top10_regime,2025-07-31,0.01629685472789953,50039.89628634842,3120564.6767939776,3070524.7805076293,10,True
trend_heavy_top10_regime,2025-08-31,0.03428560690321931,106990.45382462993,3227555.1306186076,3120564.6767939776,10,True
trend_heavy_top10_regime,2025-09-30,0.008791871631009501,28376.2503904049,3255931.3810090125,3227555.1306186076,10,True
trend_heavy_top10_regime,2025-10-31,-0.012068646111781753,-39294.68360164261,3216636.69740737,3255931.3810090125,10,True
trend_heavy_top10_regime,2025-11-30,0.014270451097138651,45902.85668761345,3262539.5540949833,3216636.69740737,10,True
trend_heavy_top10_regime,2025-12-31,0.030598366314313667,99828.38039113587,3362367.934486119,3262539.5540949833,10,True
trend_heavy_top10_regime,2026-01-31,0.012668607724552534,42596.5203876186,3404964.454873738,3362367.934486119,10,True
