simulation,annualized_sharpe,final_equity,strategy_sharpe,p_value
274,0.6102714136440881,3915020.606425388,1.0173131286117998,0.0
275,0.5592803198199218,3678088.7353563746,1.0173131286117998,0.0
276,0.612562556709337,3813865.8677306212,1.0173131286117998,0.0
277,0.8022890230864687,4049012.160132199,1.0173131286117998,0.0
278,0.6218487968195524,3666882.6523570484,1.0173131286117998,0.0
279,0.5933212295704573,3740774.733120171,1.0173131286117998,0.0
280,0.7163550929147442,4353282.981436049,1.0173131286117998,0.0
281,0.733414531253958,4488727.464935182,1.0173131286117998,0.0
282,0.5576330573669583,3218331.1181603493,1.0173131286117998,0.0
283,0.6553833178940915,3835407.2636762946,1.0173131286117998,0.0
284,0.7120487128332041,4075809.107840406,1.0173131286117998,0.0
285,0.6083071609665852,3943232.094971971,1.0173131286117998,0.0
286,0.6307507702685713,3805897.3381969784,1.0173131286117998,0.0
287,0.6583903245646364,3679277.9464215105,1.0173131286117998,0.0
288,0.697163059839983,4481983.322528802,1.0173131286117998,0.0
289,0.6165110451596553,3955263.219922826,1.0173131286117998,0.0
290,0.5831550137510814,3725921.8207895462,1.0173131286117998,0.0
291,0.6114087425104696,3806964.2031218903,1.0173131286117998,0.0
292,0.6307757028417209,3882425.977863909,1.0173131286117998,0.0
293,0.5530866553571251,3434501.8802442965,1.0173131286117998,0.0
294,0.6045496484764861,3503829.5740694245,1.0173131286117998,0.0
295,0.5154021668743449,3293429.9974389523,1.0173131286117998,0.0
296,0.6732308219278346,3752282.8127031545,1.0173131286117998,0.0
297,0.5833254340640057,3373300.4317978364,1.0173131286117998,0.0
298,0.7271846236379937,4589820.663265762,1.0173131286117998,0.0
299,0.6967844349886615,4361599.2235015305,1.0173131286117998,0.0
300,0.6001399962340946,3841031.9918752024,1.0173131286117998,0.0
301,0.5454381790651834,3923877.3772995705,1.0173131286117998,0.0
302,0.8128665446869894,4754745.814569674,1.0173131286117998,0.0
303,0.7271985232408902,4089398.839864364,1.0173131286117998,0.0
304,0.7326887767106228,4361903.676722956,1.0173131286117998,0.0
305,0.584109815863572,3535711.2103275647,1.0173131286117998,0.0
306,0.6246631106122816,3998707.7762054354,1.0173131286117998,0.0
307,0.683564623643614,4341979.322428459,1.0173131286117998,0.0
308,0.6393424779585308,3901630.547693837,1.0173131286117998,0.0
309,0.725611663287028,4151688.198098995,1.0173131286117998,0.0
310,0.6173964417989839,3503051.7315180376,1.0173131286117998,0.0
311,0.6263455794485914,3928109.5147568714,1.0173131286117998,0.0
312,0.6579542769396247,3758517.06095802,1.0173131286117998,0.0
313,0.5450645854931719,3808377.7374575557,1.0173131286117998,0.0
314,0.6229861055128109,4122651.892931077,1.0173131286117998,0.0
315,0.5580790824175668,3579908.017745856,1.0173131286117998,0.0
316,0.5063613892629492,3321044.7647718145,1.0173131286117998,0.0
317,0.6526745616862657,4089307.468203747,1.0173131286117998,0.0
318,0.6849119127126496,3771381.914599616,1.0173131286117998,0.0
319,0.5610424136270288,3263353.168140469,1.0173131286117998,0.0
320,0.7704380111369604,4905822.39017027,1.0173131286117998,0.0
321,0.5942392632408102,3665553.062357388,1.0173131286117998,0.0
322,0.6461367989614689,4302408.057360133,1.0173131286117998,0.0
323,0.6848908787799369,3844023.885617674,1.0173131286117998,0.0
324,0.5505968431135195,3492372.1971386448,1.0173131286117998,0.0
325,0.6064651278681522,3973117.0322083114,1.0173131286117998,0.0
326,0.7112475681374462,4381700.846487513,1.0173131286117998,0.0
327,0.6551420231710833,3583911.182271636,1.0173131286117998,0.0
328,0.5408868998250432,3737968.135257194,1.0173131286117998,0.0
329,0.6733890240128192,3758100.0817859857,1.0173131286117998,0.0
330,0.6458098672360942,4317997.848348193,1.0173131286117998,0.0
331,0.5850964360266472,3616681.386648122,1.0173131286117998,0.0
332,0.5275988864072391,3315639.3829371114,1.0173131286117998,0.0
333,0.7117197647717285,4335879.834247669,1.0173131286117998,0.0
334,0.6525624368255034,4012631.464671277,1.0173131286117998,0.0
335,0.8068177201287557,4670733.391532331,1.0173131286117998,0.0
336,0.5090166905935274,3175220.8104531,1.0173131286117998,0.0
337,0.49858373898226405,3688380.55727014,1.0173131286117998,0.0
338,0.7457376051116626,4377957.844489568,1.0173131286117998,0.0
339,0.6375336949345882,3886524.009263891,1.0173131286117998,0.0
340,0.5825331188730335,3542384.523557807,1.0173131286117998,0.0
341,0.7185357412682216,4046083.197826316,1.0173131286117998,0.0
342,0.5426432878215182,3428088.849372355,1.0173131286117998,0.0
343,0.6043950563433956,3631793.8350068023,1.0173131286117998,0.0
344,0.6869735428117291,4051048.85418202,1.0173131286117998,0.0
345,0.6566103551898493,3738923.3556280364,1.0173131286117998,0.0
346,0.6633000188888015,4058052.0612501064,1.0173131286117998,0.0
347,0.5988154744354591,3592819.936303093,1.0173131286117998,0.0
348,0.6681851754472956,4007350.206870884,1.0173131286117998,0.0
349,0.757290493972658,4725548.0538047785,1.0173131286117998,0.0
350,0.5363445342304057,3056532.2015949273,1.0173131286117998,0.0
351,0.556578172518693,3194451.602739724,1.0173131286117998,0.0
352,0.6939695504047877,4327771.9992516255,1.0173131286117998,0.0
353,0.7661158542981809,4055202.794880029,1.0173131286117998,0.0
354,0.6644991691460965,4168393.1415593447,1.0173131286117998,0.0
355,0.6352617348706772,3933248.392912285,1.0173131286117998,0.0
356,0.6574323192860195,4105028.701929313,1.0173131286117998,0.0
357,0.6726245936326849,4456712.324389049,1.0173131286117998,0.0
358,0.7101220956842341,4693391.360568211,1.0173131286117998,0.0
359,0.56240518564348,3691520.3529241956,1.0173131286117998,0.0
360,0.6124371414307136,3629653.2886050674,1.0173131286117998,0.0
361,0.6096868515422988,3874126.7188789607,1.0173131286117998,0.0
362,0.6317066543094223,4029497.0588927153,1.0173131286117998,0.0
363,0.65727946269923,3843636.3759168433,1.0173131286117998,0.0
364,0.5784485459233396,3642983.147968066,1.0173131286117998,0.0
365,0.6964292717792945,4750826.105222821,1.0173131286117998,0.0
366,0.791424556977387,4378444.973513972,1.0173131286117998,0.0
367,0.8128654321264522,4410565.629550213,1.0173131286117998,0.0
368,0.6906111369960928,4568155.053464797,1.0173131286117998,0.0
369,0.7462714291678874,3756608.4847433837,1.0173131286117998,0.0
370,0.6344872651216716,4455749.528251448,1.0173131286117998,0.0
371,0.7832028178563755,4074347.458533252,1.0173131286117998,0.0
372,0.5907949647865073,3745035.126499332,1.0173131286117998,0.0
373,0.6783087394270213,4298634.68744848,1.0173131286117998,0.0
374,0.7142297953976805,4131703.927623734,1.0173131286117998,0.0
375,0.658583961296573,4370583.856704139,1.0173131286117998,0.0
376,0.6361157900286619,3804856.9733531154,1.0173131286117998,0.0
377,0.6503628791857479,4098273.7351393136,1.0173131286117998,0.0
378,0.6841349643486448,3926742.5527595156,1.0173131286117998,0.0
379,0.423159129859634,2710287.1327075013,1.0173131286117998,0.0
380,0.5696619502786057,3887179.9537246623,1.0173131286117998,0.0
381,0.6188219145067789,3762136.3835489154,1.0173131286117998,0.0
382,0.5474109591303391,3296434.947179111,1.0173131286117998,0.0
383,0.647061717244887,3926641.3183731693,1.0173131286117998,0.0
384,0.7481239618122351,4518657.687183712,1.0173131286117998,0.0
385,0.6474544003565105,3876479.903070149,1.0173131286117998,0.0
386,0.5979592944770125,3661494.023165204,1.0173131286117998,0.0
387,0.6681993032964822,3779076.3219936867,1.0173131286117998,0.0
388,0.5927954128074449,3402591.307638035,1.0173131286117998,0.0
389,0.5996008025945865,3602537.872682574,1.0173131286117998,0.0
390,0.6139598100830648,3814638.034737988,1.0173131286117998,0.0
391,0.7781819715873945,4085156.501647966,1.0173131286117998,0.0
392,0.7656631801392285,4313247.574608601,1.0173131286117998,0.0
393,0.8076756164361172,4738295.347362048,1.0173131286117998,0.0
394,0.7157819240443714,4192590.1823937506,1.0173131286117998,0.0
395,0.7759727435606892,3786253.0443761568,1.0173131286117998,0.0
396,0.6570897978904408,4122181.0684088096,1.0173131286117998,0.0
397,0.6606715185466512,4030123.813999764,1.0173131286117998,0.0
398,0.9203384511855821,4948252.954891297,1.0173131286117998,0.0
399,0.7201317735309898,4218578.223268718,1.0173131286117998,0.0
400,0.6585041909107288,3945882.5636494136,1.0173131286117998,0.0
401,0.8087298168290498,4741984.120424183,1.0173131286117998,0.0
402,0.6732803396227667,3846662.6629138296,1.0173131286117998,0.0
403,0.5244442205433899,3483731.724414929,1.0173131286117998,0.0
404,0.6664532646549759,3964686.6108557484,1.0173131286117998,0.0
405,0.6846288670863967,3653481.4515793296,1.0173131286117998,0.0
406,0.6739717149134629,3829372.960968564,1.0173131286117998,0.0
407,0.6869380654770796,3877336.605251961,1.0173131286117998,0.0
408,0.8354589440140225,4454707.365570435,1.0173131286117998,0.0
409,0.5728187144115635,3565553.14699538,1.0173131286117998,0.0
410,0.5302676790065534,3431942.9776152023,1.0173131286117998,0.0
411,0.7487058879585479,4408129.044411829,1.0173131286117998,0.0
412,0.5684268631844884,3581154.9559613015,1.0173131286117998,0.0
413,0.5371090731507584,3182437.172423356,1.0173131286117998,0.0
414,0.6613411067155649,3904144.775889703,1.0173131286117998,0.0
415,0.6979516290901245,4324985.706727878,1.0173131286117998,0.0
416,0.59246109996448,3669877.950974862,1.0173131286117998,0.0
417,0.6790975661660618,4098763.7475929456,1.0173131286117998,0.0
418,0.5424704080967425,3364067.672513382,1.0173131286117998,0.0
419,0.6321179949759403,3753031.5259297173,1.0173131286117998,0.0
420,0.48786657642461634,2876235.080692659,1.0173131286117998,0.0
421,0.6880844588204306,4228052.441251025,1.0173131286117998,0.0
422,0.6450305368832449,3746640.4863807578,1.0173131286117998,0.0
423,0.41919637266015297,2751101.384424485,1.0173131286117998,0.0
424,0.5451120157050858,3613193.194262638,1.0173131286117998,0.0
425,0.6503992677200641,4435934.049464491,1.0173131286117998,0.0
426,0.6162600254219349,3484093.8188279,1.0173131286117998,0.0
